Company,Mission
"Roundy's, Inc."," Roundy’s understands the lifestyle needs of consumers better than anyone. We deliver products and services in neighborhood stores that offer an engaging, interactive shopping experience on all levels, especially sight, smell and taste. We are an innovative company that: Takes care of the customer, whatever it takes; Values our employees’ talents and skills; Is known for integrity in all of our work; Wins the hearts and minds of customers, employees, suppliers and partners; Involves and inspires all stakeholders to do their very best."
Thrivent Financial for Lutherans," Thrivent Financial for Lutherans is a faith-based membership organization called to improve the quality of life of its members, their families, and their communities by providing unparalleled solutions that focus on financial security, wellness and caring for others."
Cincinnati Financial Corporation, To grow profitably and enhance the ability of local independent insurance agents to deliver quality financial protection to the people and businesses they serve by: providing market stability through financial strength; producing competitive up-to-date products and services; developing associates committed to superior service.
"Cardinal Health, Inc."," To identify, attract, and retain the best talent from each group. To create a workplace where all talent can perform at its best. To assess/understand the diversity of your marketplace. To ensure we are responding and aligning to our customers. To ensure our customers see themselves in our vision, actions and workplace. To use external contributions to eliminate disadvantage and increase the diversity of the talent pool. "
"Advance Auto Parts, Inc."," To provide personal vehicle owners and enthusiasts with the vehicle related products and knowledge that fulfill their wants and needs at the right price. Our friendly, knowledgeable and professional staff will help inspire, educate and problem-solve for our customers. This will assist them in obtaining the appropriate accessories, diagnosing their vehicle operational problems and accomplishing their repair projects. And as a result, customers will love to shop at Advance Auto Parts Stores."
"Casey's General Stores, Inc."," To provide quality products at competitive prices with courteous service in clean stores at convenient locations.To provide a work environment where employees are treated with respect, dignity and honesty and where high performance is expected and rewarded.To provide shareowners with a fair return on investment.  "
Teachers Insurance and Annuity Association College Retirement," To serve those who serve others. Focusing primarily on institutions and individuals in the academic, medical, cultural, research and governmental communities, we offer solutions that help provide lifetime financial security and wellbeing on the best terms practicable, consistent with our nonprofit heritage."
Molson Coors Brewing Company," we are united in our purpose – to create a portfolio of extraordinary brands that delight the world’s beer drinkers, built through the passion and dedication of everyone at Molson Coors."
"Advanced Micro Devices, Inc."," We empower people everywhere to lead more productive lives. Mission: AMD produces integrated circuits, providing programmable products in concert with applications solutions to manufacturers of equipment for personal and networked computation and communication. To achieve success, AMD combines innovative concepts with leadership in process technology and design and manufacturing excellence to offer products and services that reduce the cost, improve the performance and shorten the time to market for our target customers worldwide. Successful accomplishment of this mission will enable AMD to grow faster and earn a higher return on equity than the semiconductor industry."
Texas Instruments Incorporated, We will accomplish this with excellence in everything we do: Value by producing products and technologies that make us and our customers sustainably different from the competition; Growth by competing in high-growth markets; and Stability by providing consistently good financial performance.
Lockheed Martin Corporation,1. Customer focused organisation 2. Supplier of choice 3. Conduit for technology cooperation 4. Partner of choice 5. Draw on the core LM competencies 6. Build an indigenous team 
"Alliance Holdings GP, L.P.",1. Expanding Market Opportunities. 2. Low-Cost Producing Regions. 3. High-Return Organic Development Projects. 4. Disciplined Acquisitions.
Eastman Kodak Company,1. Fully engage the energies of Kodak's employees. 2. Meet competitive challenges in the marketplace. 3. Maximize shareholder value.
"Enbridge Energy Partners, L.P.",1. Increase Operational Efficiency -> Develop operating synergies through cost reductions and the application of new technologies. 2. Optimize Customer Relationships -> Work proactively with customers to secure mutually beneficial transportation agreement.
Northeast Utilities,"1. One company, focused on delivering reliable energy and superior customer service.To be the region's most respected energy provider."
"The Goldman Sachs Group, Inc.","1. Our clients' interests always come first. Our experience shows that if we serve our clients well, our own success will follow.  2. Our assets are our people, capital and reputation. If any of these is ever diminished, the last is the most difficult to restore. We are dedicated to complying fully with the letter and spirit of the laws, rules and ethical principles that govern us. Our continued success depends upon unswerving adherence to this standard."
The First American Financial Corporation,"1. Providing diversity education to the workforce. 2. Recruiting diverse, top talent. 3. Encouraging volunteering in the community. 4. Launching events and seminars that educate on topics such as health, financial literacy and culture."
"Family Dollar Stores, Inc.",1. To be a Compelling Place to Shop for our Customers. 2. To be a Compelling Place to Work for our Team Members. 3. To be a Compelling Place to Invest for our Shareholders.
Cablevision Systems Corporation,1. To ensure 24 hours of TV Entertainment to the entire family. 2. To provide cabletainment on the hour. 3. To best serve our subscribers. 4. Simply customer satisfaction.
Vectren Corporation,1. We will deliver an exceptional customer experience. 2. We will achieve industry-leading safety performance. 3. We will commit to a culture of continuous improvement. 4. We will deliver superior investor returns. 
NVIDIA Corporation,A lasting and positive impact in the lives of people in our community.
Panera Bread Company,A loaf of bread in every arm.
"Avon Products, Inc.","A series of corporate principles were developed by McConnell and provided direction and continued to influence decision making for the company throughout its history. The principles are 1. To provide individuals an opportunity to earn in support of their well-being and happiness. 2. To serve families throughout the world with products of the highest quality backed by a guarantee of satisfaction. 3. To render a service to customers that is outstanding in its helpfulness and courtesy. 4. To give full recognition to employees and Representatives, on whose contribution Avon depends . 5.To share with others the rewards of growth and success . 6.To meet fully the obligations of corporate citizenship by contributing to the well-being of society and the environment in which it functions. 7.To maintain and cherish the friendly spirit of Avon."
"PriceSmart, Inc.","A strategically focused, volume-driven and entrepreneurial membership, merchandise and services leader delivering quality, value and low prices to the rapidly emerging consumer class in Central America, theCaribbean and Asia."
Abercrombie & Fitch Co.,Abercrombie and Fitch focuses upon high-quality merchandise that compliments the casual classic American lifestyle.
"MetLife, Inc.","All customers are ""Met for Life."" By balancing the efficiencies of new technologies with the personal touch of highly trained and motivated professionals, we are able to deliver solutions and services that exceed our customers' expectations. We thereby earn their loyalty."
"Altria Group, Inc.","Altria Group’s overriding goal is to deliver superior returns to our shareholders over the long term by continuing to improve each of our operating companies  Kraft Foods, Philip Morris International and Philip Morris USA  and by taking action to maximize returns to shareholders over the long term, in a manner consistent with the interests of key stakeholders."
AmerisourceBergen Corp.,"AmerisourceBergen's focus is to provide the best service in the pharmaceutical supply chain with continuously improving operational efficiencies and expanded offerings and programs. Mission: To build shareholder value by delivering pharmaceutical and healthcare products, services and solutions in innovative and cost effective ways. We will realize this mission by setting the highest standards in service, reliability, safety and cost containment in our industry."
Amgen Inc.,"Amgen strives to serve patients by transforming the promise of science and biotechnology into therapies that have the power to restore health or even save lives. In everything we do, we aim to fulfill our mission to serve patients. And every step of the way, we are guided by the values that define us. "
Perrigo Company,"An essential part of that mission, of course, is quality. ""Quality"" is more than a concept at Perrigo, it is our most important priority. That is why we continually invest our time and resources in the quest to achieve ever higher levels of quality execution and quality products - for you, our own family members and everyone who uses our products."
"Apple, Inc.","Apple is committed to bringing the best personal computing experience to students, educators, creative professionals and consumers around the world through its innovative hardware, software and Internet offerings."
First Data Corporation,"Around the world, every second of every day, we make payment transactions secure, fast and easy for financial institutions, merchants and their customers. We leverage our unparalleled product portfolio and expertise to deliver solutions that drive our customers’ revenue and profitability."
The Coca-Cola Company,As a company and serves as the standard against which we weigh our actions and decisions.  1. To refresh the world. 2. To inspire moments of optimism and happiness.         3. To create value and make a difference.                                                                                   
"American International Group, Inc.","As a global financial services organization, we have committed our resources to developing products and services that address the needs of our clients as well as promote a corporate culture that values integrity, diversity, innovation and excellence."
"Berry Plastics Group, Inc.","As a global leader in packaging and protection solutions, we believe we have a responsibility to play a positive role in the communities and environments in which we operate and serve. From the way we operate our facilities, to the industry partnerships we have developed, to our community education programs, Berry Plastics is committed to designing our products with the environment in mind."
Hormel Foods Corporation,"As a leading branded food company with a focus on profitable growth and inspired by our founder's charge to ""Originate, don't imitate,"" we market a balanced portfolio of highly differentiated quality products."
Mylan Inc.,"As a leading provider of generic and specialty pharmaceuticals, Mylan maintains one of the industry’s largest commercial footprints and a network that spans the globe. Operating this network seamlessly – across all of our businesses – is our highest priority. Our scope and depth enable us to offer our customers a comprehensive portfolio of innovative and affordable quality products backed by the industry’s highest standards for service, delivery and reliability. Because at Mylan, anything less isn’t good enough."
"Toll Brothers, Inc.","As a renowned new home builder, Toll Brothers goes beyond exceptional value, quality, and customer service to create a lifestyle that is rich in beauty, comfort, and luxury. It’s why we’re the nation’s leading builder of luxury homes."
"Quanta Services, Inc.","As a team of entities operating with the efficiencies of one powerful company, Quanta Services has the knowledge and expertise to handle a full spectrum of projects. From the most straightforward, single-component installation to the most complex, multi-state project, Quanta can handle the job safely, efficiently and cost-effectively."
MBIA Inc.,"As a world class manager of credit risk, we help our clients achieve their financial goals by providing credit protection and global markets access, innovative funding solutions and superior asset management services. "
"Benchmark Electronics, Inc.","As a worldwide provider of integrated electronics manufacturing, design and engineering services, our global footprint of ISO-certified facilities provides a stable and low-risk “launching pad” for the creation and production of advanced electronics-based products."
"Barnes & Noble, Inc.","As booksellers we are determined to be the very best in our business, regardless of the size, pedigree or inclinations of our competitors. we expect to be a credit to the communities we serve, a valuable resource to our customers, and a place where our dedicated booksellers can grow and prosper. "
CBS Corporation,"As broadcasters, we aim to ensure that our national viewing audience is reflected in our programming and our people. We recognize that a work force comprised of a wide variety of perspectives, viewpoints and backgrounds is integral to our continued success.This is not a campaign, but rather a fundamental way of doing business at CBS, and we continue to be steadfast in our goal to become more diverse and more representative of the public we serve."
H.J. Heinz Company,"As the trusted leader in nutrition and wellness, Heinz  the original Pure Food Company  is dedicated to the sustainable health of people, the planet and our Company.  "
Cabela's Incorporated,"As the World's Foremost Outfitter, we passionately serve people who enjoy the  outdoor lifestyle by delivering innovation, and value in our products and services."
"Alaska Air Group, Inc.","At Alaska Airlines, our employees share an uncommon blend of integrity, professionalism, caring, resourcefulness, and spirit. Every day we strive to bring these values to life through behaviors and deeds that go above and beyond the ordinary - what we call ""North of Expected"" and Alaska spirit in action.To the people of Horizon Air, the Pacific Northwest is more than a place to do business - it's our home. Because of this, we have an innate interest in the welfare of the region and its people, and in doing all we can to make it an even better place."
"CenterPoint Energy, Inc.","At CenterPoint Energy, we're committed to doing business every day with safety, integrity, accountability, initiative and respect for our customers, shareholders, employees and the communities we serve."
Con-way Inc.,"At Con-way Truckload we are driven by our core values of SAFETY, INTEGRITY, COMMITMENT and EXCELLENCE. We create a safe and positive work environment where people are encouraged to grow. Guided by our principles, we maximize shareholder value, exceed expectations and provide customers with best-in-class service."
"Guess?, Inc.","At guess, we are committed to being a worldwide leader in the fashion industry."
International Business Machines Corporation,"At IBM, we strive to lead in the invention, development and manufacture of the industry's most advanced information technologies, including computer systems, software, storage systems and microelectronics. We translate these advanced technologies into value for our customers through our professional solutions, services and consulting businesses worldwide."
Sanmina,"At Sanmina-SCI, service means the ability to recognize, anticipate and concentrate on the specific needs of our customers. Both our business strategy and day-to-day operations are based on the feedback we get from our customers and we have built and grown Sanmina-SCI one satisfied customer at a time. Today, we offer tailored services to customers within the automotive, communications infrastructure, computing, defense and aerospace, medical, industrial, semiconductor equipment, and multimedia industries worldwide."
United States Steel Corporation,"At U. S. Steel, creating value for our stakeholders is a priority. To ensure our long-term success, we aim to build value for our customers, employees, shareholders, creditors, and the communities in which we operate using the same responsible approach that has positioned us as a leader in our industry."
"NetApp, Inc.","Attracting and retaining performance-oriented employees, who thrive by taking on challenging work in a supportive environment and who are recognized and rewarded for their achievements and contributions Driving customers’ success and earning their loyalty through products, services, and relationships that deliver new capabilities and unparalleled value Building and nourishing partnerships to develop and deliver innovative, superior solutions for customers Providing shareholders with exceptional value through predictable performance and significant growth in revenues and profits Fostering positive relationships in the communities in which we work and with our global neighbors"
"AutoZone, Inc.","AutoZoners always put customers first, We know our parts and products. Our stores look great, We've got the best merchandise at the right price. "
Frontier Communications Corporation,Be the leader in providing communications services to residential and business customers in our markets.
"Netflix, Inc.","Becoming the best global entertainment distribution service, Licensing entertainment content around the world, Creating markets that are accessible to film makers, Helping content creators around the world to find a global audience."
The J.M. Smucker Company,"Beliefs regarding Quality, People, Ethics, Growth, and Independence have served as a strong foundation throughout our history and will continue to be the basis for future strategy, plans, and accomplishments."
SunPower Corporation,Better Machines for a Better World.
"BlackRock, Inc.","BlackRock's mission is to be a world-class provider of asset management and risk management services. We offer a broad range of investment products that target returns in excess of their benchmarks while efficiently managing risk. Our risk management products and services are developed from the same proprietary systems and analytics that support our own asset management business. We bring to asset management a practical, real world application of risk management techniques and analytics designed to maximize usability, consistency, efficiency, and flexibility. "
"American Electric Power Company, Inc.","Bringing comfort to our customers, supporting business and commerce, and building strong communities."
The Hershey Company,Bringing sweet moments of Hershey happiness to the world every day.
Cameron International Corporation,"Bringing together a growing range of proven flow equipment, products, systems, services and brands into one company resourceful enough to serve your requirements from upstream through downstream applications."
"Constellation Brands, Inc.","Building brands that people love. At Constellation, we're building brands that people love: Artfully - with a passion for premium winemaking and industry-leading standards for quality.  Smartly - through leading innovations, consumer insights and marketing that help grow our business and the business of our partners.    Responsibly - by caring for the land, people and communities where we live and work."
"Rockwell Collins, Inc.",Building trust every day.
Lincoln National Corporation,"By focusing on these three critical strategies, Lincoln Financial Group differentiates itself from its peers, continues to add value to its shareholders and stands to benefit from the next market evolution in the financial services industry, the retirement of the Baby Boomers. Wealth Accumulation and Protection: As an industry leader, Lincoln knows that future success requires excellence not only in its wealth accumulation and protection products, but also in meeting the next generation of market needs: retirement income and wealth transfer.  High Net-Worth: Lincoln is a premier provider of wealth accumulation and protection products, financial planning and investment advisory services for the high net-worth market. The high net-worth market includes those individuals with investable assets of $1 million or more.  Buyer Behavior of Baby Boomers: Approximately 80 million Americans constitute the Baby Boomer generation. Their economic, social and political influence remains unmatched and planning for retirement is on their agenda. Today Boomers are focused on asset accumulation. However, as retirement nears, their focus will shift to income distribution and preservation. Lincoln is well positioned in these areas and stands ready to serve the Baby Boomers in their retirement planning needs."
Calpine Corporation,"Calpine Corporation is committed to proactively protecting human health and the environment. We will operate our business in a manner that consciously safeguards our employees, customers and communities in which we do business. In striving for responsible environmental, health and safety stewardship, Calpine pledges to: Diligently develop, construct and operate our facilities in an environmentally responsible manner that promotes pollution prevention and places the highest priority on health and safety. Operate facilities that meet all applicable federal, state and local environmental, health and safety rules, regulations, ordinances and statutes as well as recognized industry guidelines and standards. Continually measure, evaluate and improve our environmental, health and safety performance. Promote environmental, health and safety awareness that fosters a caring, ownership-driven culture among employees, contractors and vendors."
"Cisco Systems, Inc.","Cisco enables people to make powerful connections – whether in business, education, philanthropy, or creativity. Cisco hardware, software, and service offerings are used to create the Internet solutions that make networks possible-providing easy access to information anywhere, at any time."
Citigroup Inc.,"Citi works tirelessly to serve individuals, communities, institutions and nations. With 200 years of experience meeting the world’s toughest challenges and seizing its greatest opportunities, we strive to create the best outcomes for our clients and customers with financial solutions that are simple, creative and responsible. An institution connection over 1,000 cities, 160 countries and millions of people, we are your global bank; we are Citi."
Clearwater Paper Corporation,"Clearwater Paper creates quality products and innovative solutions, enabling customers to achieve sustainable success."
DIRECTV,"Combine compelling and diverse content, technology and service to make DIRECTV a clear choice among consumers Latin America."
General Electric Company,"Committed to achieving worldwide leadership in each of its businesses. To achieve that leadership, GE's ongoing business strategy centers on five key growth initiatives -> Technical Leadership, Services Customer Focus Growth Platforms Globalization."
"Apollo Group, Inc.",Committed to advancing access to quality global education by investing in institutions respected in their academic communities led by visionary leaders and driven by innovation.
CONSOL Energy Inc.,"Committed to advancing energy efficiency, renewable energy and green building technologies in the marketplace through innovative, cost effective solutions for residential and commercial buildings. ConSol strives to make buildings make cents."
Adobe Systems Incorporated,"Committed to expanding, strengthening and leveraging the diversity of our workforce. Our goal is to treat all employees with respect and integrity while valuing the differences and mirroring the diversity of the locations where we do business."
Patriot Coal Corporation,"Committed to operational  and environmental excellence and customer satisfaction.   1. Make safety our highest priority and the cornerstone of the relationship with our employees. 2. Promote a high-performing organization by hiring and retaining the most qualified people and maximizing their opportunities through personal growth and development; 3. Engineer, build and manage our operations to enhance productivity and ensure a competitive cost structure; 4. Be a steward of the environment and a good neighbor in the communities where we operate; 5. Provide creative solutions for our customers through utilization of our diverse sourcing capabilities and innovative contracting techniques; 5. Conduct our business with trust, respect and integrity toward customers, suppliers, employees and regulatory agencies."
"Penske Automotive Group, Inc.","committed to providing the highest quality service to create lifetime guests. We believe that complete guest satisfaction in all areas of our operation  sales, service, parts, body shop, and administration – is the key to our success and future growth. Underlying this mission is the recognition that our team members are vital in achieving the Company's goals and enhancing our reputation as innovative leaders in the automotive industry. Our commitment to our guests and employees is matched by our respect for the communities we serve. To achieve our beliefs, we: 1. Conduct ourselves with the highest standards of professional ethics, honesty and integrity 2. Offer and deliver exceptional products and services at a reasonable price 3. Build, operate and maintain the finest automotive dealerships in the industry 4.Create and promote an environment of teamwork and mutual respect among our team members 5. Partner with our local communities to make a difference in society."
"Community Health Systems, Inc.",Company is known for sound management decisions and a leadership team that sets a company standard of excellence.
CMS Energy Corporation,"Comply with environmental laws, regulations, and other requirements Understand and reduce, where practical, the environmental impacts of our activities and demonstrate that understanding in planning and executing our work Establish objectives, guidelines and detailed procedures as needed to implement this policy Provide adequate resources to meet our environmental commitments Encourage cost-effective opportunities to prevent pollution and to reuse and recycle used materials. Handle and dispose of waste materials in ways that minimize environmental risk Work with environmental agencies and organizations to ensure timely, reasonable and cost-effective resolutions to environmental issues Fully weigh potential environmental risks before transactions involving the sale, lease, transfer or purchase of assets Encourage employee participation in environmental protection and enhancement efforts Review conformity with these environmental principles on a regular basis to ensure compliance and improve performance Communicate this policy and our environmental values to our employees and interested stakeholders."
"Juniper Networks, Inc.",connect everything empower everyone.
Time Warner Cable Inc.,"Connect people and businesses with information, entertainment and each other. Give customers control in ways that are simple and easy."
"Johnson Controls, Inc.",Continually exceed our customers' increasing expectations.
Corning Incorporated,"Corning Incorporated, the world leader in specialty glass and ceramics, has worked closely with customers to understand their problems, explore possible solutions, and then bring those solutions to life through our world-class scientific and manufacturing capabilities.."
American Tower Corporation,"Create a customer-focused team environment where employees are respected and innovation is a state of mind. Deliver the highest level of customer service while providing safe, compliant and quality tower sites. Exceed yearly performance goals to create enduring success. Pursue meaningful opportunities to grow and strengthen the company."
Axiall Corporation,Create value for our stakeholders by achieving operational excellence and integrating natural resources safely and efficiently into premium-quality products that enhance the quality of life.
Pinnacle West Capital Corporation,Creating a sustainable energy future for Arizona.
The Bank of New York Mellon Corporation,"Creating an environment where our clients' expectations and our shared, enduring values drive the decisions and behavior of our entire organization."
News Corporation,"Creating and distributing top-quality news, sports and entertainment around the world."
Time Warner Inc.,"Creativity-> We thrive on innovation and originality encouraging risk-taking and divergent voices. Customer Focus-> We value our customers putting their needs and interests at the center of everything we do. Agility-> We move quickly embracing change and seizing new opportunities. Teamwork-> We treat one another with respect--creating value by working together within and across our businesses. Integrity-> We rigorously uphold editorial independence and artistic expression earning the trust of our readers,viewers, listeners, members and subscribers. Diversity-> We attract and develop the world's best talent seeking to include the broadest range of people and perspectives. Responsibility-> We work to improve our communities taking pride in serving the public interest as well as the interests of our shareholders."
"Crown Holdings, Inc.","Customer satisfaction is Crown’s highest priority. We achieve this goal by continuously improving the cost effectiveness and performance of all our products and processes, as well as focusing on innovation."
R.R. Donnelley & Sons Company,"Customer satisfaction will be the paramount consideration in the performance of every aspect of our work,each of us must act with integrity and adhere to the highest standards of business ethics."
Waters Corporation,"Customer success is our mission. Waters creates business advantages for laboratory-dependent organizations by delivering practical and sustainable scientific innovation to enable significant advancements in such areas as healthcare delivery, environmental management, food safety, water quality, consumer products, and high value-added chemicals."
Celanese Corporation,"Customer-Focused Growth & Innovation Commitment to growing globally and profitably through innovative solutions that anticipate customers’ needs and deliver value At Celanese, we … • Invest in businesses and regions that profitably support our customers and create growth opportunities • Think globally and strive to meet or exceed customer expectations • Always seek new and better ways to create value for customers and the company • Pursue customers, suppliers and other business partners who recognize the value of Celanese products and services."
"Chico's FAS, Inc.","Customers First, Integrity,Respect ,Vibrant Spirit,High Performance,These values are our Mission."
"Whole Foods Market, Inc.","Declaration of Interdependence: Whole Foods Market is a dynamic leader in the quality food business. We are a missiondriven company that aims to set the standards of excellence for food retailers. We are building a business in which high standards permeate all aspects of our company. Quality is a state of mind at Whole Foods Market. Our motto — Whole Foods, Whole People, hole Planet — emphasizes that our vision reaches far beyond just being a food retailer. Our success in fulfilling our vision is measured by customer satisfaction, Team Member excellence and appiness, return on capital investment, improvement in the state of the environment, and local and larger community support. Our ability to instill a clear sense of interdependence among our various stakeholders (the people who are interested and benefit from the success of our company) is contingent upon our efforts to communicate more often, more openly, and more  ompassionately. Better communication equals better understanding and more trust."
"D.R. Horton, Inc.","Dedicated to building quality crafted, distinctive homes across the United States."
Lam Research Corporation,Dedicated to the success of our customers by being the world-class provider of innovative technology and productivity solutions to the semiconductor industry.
Southwest Airlines Co.,"Dedication to the highest quality of Customer Service delivered with a sense of warmth, friendliness, individual pride, and Company Spirit."
Intel Corporation,"Delight our customers, employees, and shareholders by relentlessly delivering the platform and technology advancements that become essential to the way we work and live."
CareFusion Corporation,Deliver clinically proven products and services that measurably improve patient care.
BorgWarner Inc.,"Deliver Innovative Powertrain Solutions that Improve Fuel Economy, Emissions & Performance."
The Babcock & Wilcox Company,"Deliver innovative technologies and solutions to fulfill the needs of our customers. Provide a challenging, rewarding, and safe work environment for our employees. Generate increasing value for our stakeholders."
DENTSPLY International Inc.,"Deliver solutions ""For Better Dentistry"" that benefit practitioners and patients everywhere, optimizing our global resources to lead the industry in innovation, quality, and service."
Oracle Corporation,Deliver the best information with the highest Quality of Service at the lowest cost.
"W.W. Grainger, Inc.",Delivering on our commitments to our customers is the #1 priority at Grainger. Grainger is committed to developing employees who help us win with our customers. These attributes define how we conduct business and how we interact with others. Wow the Customer: Take personal responsibility for creating an exceptional customer experience Have a Winning Attitude: Make courageous decisions Drive for the Best Results: Work hard with integrity Make the Team Better: Take personal responsibility for the team's success Lead the Way: Build a sustainable team that lives by Grainger's four performance drivers.
"Lorillard, Inc.",Delivering quality tobacco products that bring pleasure and enjoyment to adult tobacco consumers is one that will serve both our customers and shareholders well over the long-term.
"Office Depot, Inc.","DeliveringOur actions speak louder than words. We are accountable: doing what we say we're going to do efficiently and on time.   Winning-> We act with confidence. We're proud to win. We push ourselves to greater heights. And we don't settle for less than being the best.   Solutions->We listen to our customers and understand their needs. We offer products, services and innovative thinking that enable our customers to achieve success.   Inspire->Our inspiration is contagious and enables us to unleash creativity to help people achieve their goals. Our motivation and enthusiasm inspire others to succeed.   Worklife->We combine our energy for work with our passion for life. We are creating a fuller, more enriched lifestyle. We share the desire to maximize human potential to achieve personal dreams."
Western Digital Corporation,"Designing, manufacturing and selling hard drives is all that we do. We understand the importance of the data you put on your hard drives. We focus our passion, knowledge and innovation on products that reliably keep your information and content safe and close at hand."
"Woodward, Inc.","Develop and maintain a World Class Supplier Diversity Program, helping Woodward exceed the expectations of our members and stockholders and enhancing our ability to meet the needs of our Customers, by utilizing the cutting edge technologies, flexibility'"
Baxter International Inc.,"Develops, manufactures and markets products that save and sustain the lives of people with hemophilia, immune disorders, infectious diseases, kidney disease, trauma, and other chronic and acute medical conditions. As a global, diversified healthcare company, Baxter applies a unique combination of expertise in medical devices, pharmaceuticals and biotechnology to create products that advance patient care worldwide."
"Discovery Communications, Inc.","Discovery is dedicated to satisfying curiosity, engaging and entertaining viewers with high-quality content on worldwide television networks, led by Discovery Channel, TLC, Animal Planet, Investigation Discovery and Science, as well as U.S. joint venture network OWN: Oprah Winfrey Network. "
"J.C. Penney Company, Inc.",Do unto others as you would have others do unto you.
Deere & Company,"Double and Double Again the John Deere Experience of Genuine Value for Employees, Customers, and Shareholders."" This will be accomplished by rapidly expanding global customer coverage on the farmsite, worksite, homesite, and turfsite by being first in creating smart and innovative customer solutions through machines, service, and concepts. The company's business strategies of Running Smart, Running Fast, and Running Lean will help John Deere achieve its mission."
Dover Corporation,"Dover Environmental is a diverse team of exceptional, talented and creative people committed to providing best value services, delivered on time, while maintaining a standard of excellence in quality and workmanship. Safety - We are fully dedicated to the safety of all our employees and subcontractors. Safety and hazard awareness is a continual practice that is put first and foremost. Integrity, Honesty and Ethics –  These are the core principles that our team has been built on. We are held accountable on and off the jobsite and understand that our individual representation is that of our collective representation. We deem this to be the backbone of our success. Quality –  We pledge that the extra steps will always be taken to ensure the best quality of workmanship in each detail no matter how small. Sustainability -  We are consistently pursuing and improving on the latest advancements in conservation techniques and technology to ensure the responsible expenditure of resources."
The Shaw Group Inc.,"Driven by leaders with bold vision and a strong entrepreneurial spirit, the company has evolved into a diverse engineering, construction, technology, fabrication, environmental and industrial services organization with 26,000 employees in strategic locations around the world."
