"","word","sentiment","lexicon","score"
"247","adversary","anger","nrc",NA
"248","adversary","negative","nrc",NA
"249","adverse","anger","nrc",NA
"250","adverse","disgust","nrc",NA
"251","adverse","fear","nrc",NA
"252","adverse","negative","nrc",NA
"253","adverse","sadness","nrc",NA
"254","adversity","anger","nrc",NA
"255","adversity","fear","nrc",NA
"256","adversity","negative","nrc",NA
"257","adversity","sadness","nrc",NA
"258","advice","trust","nrc",NA
"259","advisable","positive","nrc",NA
"260","advisable","trust","nrc",NA
"261","advise","positive","nrc",NA
"262","advise","trust","nrc",NA
"263","advised","trust","nrc",NA
"264","adviser","positive","nrc",NA
"265","adviser","trust","nrc",NA
"266","advocacy","anger","nrc",NA
"267","advocacy","anticipation","nrc",NA
"268","advocacy","joy","nrc",NA
"269","advocacy","positive","nrc",NA
"270","advocacy","trust","nrc",NA
"271","advocate","trust","nrc",NA
"272","aesthetic","positive","nrc",NA
"273","aesthetics","joy","nrc",NA
"274","aesthetics","positive","nrc",NA
"275","affable","positive","nrc",NA
"276","affection","joy","nrc",NA
"277","affection","positive","nrc",NA
"278","affection","trust","nrc",NA
"279","affiliated","positive","nrc",NA
"280","affirm","positive","nrc",NA
"281","affirm","trust","nrc",NA
"282","affirmation","positive","nrc",NA
"283","affirmative","positive","nrc",NA
"284","affirmatively","positive","nrc",NA
"285","affirmatively","trust","nrc",NA
"286","afflict","fear","nrc",NA
"287","afflict","negative","nrc",NA
"288","afflict","sadness","nrc",NA
"289","afflicted","negative","nrc",NA
"290","affliction","disgust","nrc",NA
"291","affliction","fear","nrc",NA
"292","affliction","negative","nrc",NA
"293","affliction","sadness","nrc",NA
"294","affluence","joy","nrc",NA
"295","affluence","positive","nrc",NA
"296","affluent","positive","nrc",NA
"297","afford","positive","nrc",NA
"298","affront","anger","nrc",NA
"299","affront","disgust","nrc",NA
"300","affront","fear","nrc",NA
"301","affront","negative","nrc",NA
"302","affront","sadness","nrc",NA
"303","affront","surprise","nrc",NA
"304","afraid","fear","nrc",NA
"305","afraid","negative","nrc",NA
"306","aftermath","anger","nrc",NA
"307","aftermath","disgust","nrc",NA
"308","aftermath","fear","nrc",NA
"309","aftermath","negative","nrc",NA
"310","aftermath","sadness","nrc",NA
"311","aftertaste","negative","nrc",NA
"312","aga","fear","nrc",NA
"313","aga","positive","nrc",NA
"314","aga","trust","nrc",NA
"315","aggravated","anger","nrc",NA
"316","aggravated","negative","nrc",NA
"317","aggravating","anger","nrc",NA
"318","aggravating","negative","nrc",NA
"319","aggravating","sadness","nrc",NA
"320","aggravation","anger","nrc",NA
"321","aggravation","disgust","nrc",NA
"322","aggravation","negative","nrc",NA
"323","aggression","anger","nrc",NA
"324","aggression","fear","nrc",NA
"325","aggression","negative","nrc",NA
"326","aggressive","anger","nrc",NA
"327","aggressive","fear","nrc",NA
"328","aggressive","negative","nrc",NA
"329","aggressor","anger","nrc",NA
"330","aggressor","fear","nrc",NA
"331","aggressor","negative","nrc",NA
"332","aghast","disgust","nrc",NA
"333","aghast","fear","nrc",NA
"334","aghast","negative","nrc",NA
"335","aghast","surprise","nrc",NA
"336","agile","positive","nrc",NA
"337","agility","positive","nrc",NA
"338","agitated","anger","nrc",NA
"339","agitated","negative","nrc",NA
"340","agitation","anger","nrc",NA
"341","agitation","negative","nrc",NA
"342","agonizing","fear","nrc",NA
"343","agonizing","negative","nrc",NA
"344","agony","anger","nrc",NA
"345","agony","fear","nrc",NA
"346","agony","negative","nrc",NA
"347","agony","sadness","nrc",NA
"348","agree","positive","nrc",NA
"349","agreeable","positive","nrc",NA
"350","agreeable","trust","nrc",NA
"351","agreed","positive","nrc",NA
"352","agreed","trust","nrc",NA
"353","agreeing","positive","nrc",NA
"354","agreeing","trust","nrc",NA
"355","agreement","positive","nrc",NA
"356","agreement","trust","nrc",NA
"357","agriculture","positive","nrc",NA
"358","aground","negative","nrc",NA
"359","ahead","positive","nrc",NA
"360","aid","positive","nrc",NA
"361","aiding","positive","nrc",NA
"362","ail","negative","nrc",NA
"363","ail","sadness","nrc",NA
"364","ailing","fear","nrc",NA
"365","ailing","negative","nrc",NA
"366","ailing","sadness","nrc",NA
"367","aimless","negative","nrc",NA
"368","airport","anticipation","nrc",NA
"369","airs","disgust","nrc",NA
"370","airs","negative","nrc",NA
"371","akin","trust","nrc",NA
"372","alabaster","positive","nrc",NA
"373","alarm","fear","nrc",NA
"374","alarm","negative","nrc",NA
"375","alarm","surprise","nrc",NA
"376","alarming","fear","nrc",NA
"377","alarming","negative","nrc",NA
"378","alarming","surprise","nrc",NA
"379","alb","trust","nrc",NA
"380","alcoholism","anger","nrc",NA
"381","alcoholism","disgust","nrc",NA
"382","alcoholism","fear","nrc",NA
"383","alcoholism","negative","nrc",NA
"384","alcoholism","sadness","nrc",NA
"385","alertness","anticipation","nrc",NA
"386","alertness","fear","nrc",NA
"387","alertness","positive","nrc",NA
"388","alertness","surprise","nrc",NA
"389","alerts","anticipation","nrc",NA
"390","alerts","fear","nrc",NA
"391","alerts","surprise","nrc",NA
"392","alien","disgust","nrc",NA
"393","alien","fear","nrc",NA
"394","alien","negative","nrc",NA
"395","alienate","anger","nrc",NA
"396","alienate","disgust","nrc",NA
"397","alienate","negative","nrc",NA
"398","alienated","negative","nrc",NA
"399","alienated","sadness","nrc",NA
"400","alienation","anger","nrc",NA
"401","alienation","disgust","nrc",NA
"402","alienation","fear","nrc",NA
"403","alienation","negative","nrc",NA
"404","alienation","sadness","nrc",NA
"405","alimentation","positive","nrc",NA
"406","alimony","negative","nrc",NA
"407","alive","anticipation","nrc",NA
"408","alive","joy","nrc",NA
"409","alive","positive","nrc",NA
"410","alive","trust","nrc",NA
"411","allay","positive","nrc",NA
"412","allegation","anger","nrc",NA
"413","allegation","negative","nrc",NA
"414","allege","negative","nrc",NA
"415","allegiance","positive","nrc",NA
"416","allegiance","trust","nrc",NA
"417","allegro","positive","nrc",NA
"418","alleviate","positive","nrc",NA
"419","alleviation","positive","nrc",NA
"420","alliance","trust","nrc",NA
"421","allied","positive","nrc",NA
"422","allied","trust","nrc",NA
"423","allowable","positive","nrc",NA
"424","allure","anticipation","nrc",NA
"425","allure","joy","nrc",NA
"426","allure","positive","nrc",NA
"427","allure","surprise","nrc",NA
"428","alluring","positive","nrc",NA
"429","ally","positive","nrc",NA
"430","ally","trust","nrc",NA
"431","almighty","positive","nrc",NA
"432","aloha","anticipation","nrc",NA
"433","aloha","joy","nrc",NA
"434","aloha","positive","nrc",NA
"435","aloof","negative","nrc",NA
"436","altercation","anger","nrc",NA
"437","altercation","negative","nrc",NA
"438","amaze","surprise","nrc",NA
"439","amazingly","joy","nrc",NA
"440","amazingly","positive","nrc",NA
"441","amazingly","surprise","nrc",NA
"442","ambassador","positive","nrc",NA
"443","ambassador","trust","nrc",NA
"444","ambiguous","negative","nrc",NA
"445","ambition","anticipation","nrc",NA
"446","ambition","joy","nrc",NA
"447","ambition","positive","nrc",NA
"448","ambition","trust","nrc",NA
"449","ambulance","fear","nrc",NA
"450","ambulance","trust","nrc",NA
"451","ambush","anger","nrc",NA
"452","ambush","fear","nrc",NA
"453","ambush","negative","nrc",NA
"454","ambush","surprise","nrc",NA
"455","ameliorate","positive","nrc",NA
"456","amen","joy","nrc",NA
"457","amen","positive","nrc",NA
"458","amen","trust","nrc",NA
"459","amenable","positive","nrc",NA
"460","amend","positive","nrc",NA
"461","amends","positive","nrc",NA
"462","amenity","positive","nrc",NA
"463","amiable","positive","nrc",NA
"464","amicable","joy","nrc",NA
"465","amicable","positive","nrc",NA
"466","ammonia","disgust","nrc",NA
"467","amnesia","negative","nrc",NA
"468","amnesty","joy","nrc",NA
"469","amnesty","positive","nrc",NA
"470","amortization","trust","nrc",NA
"471","amour","anticipation","nrc",NA
"472","amour","joy","nrc",NA
"473","amour","positive","nrc",NA
"474","amour","trust","nrc",NA
"475","amphetamines","disgust","nrc",NA
"476","amphetamines","negative","nrc",NA
"477","amuse","joy","nrc",NA
"478","amuse","positive","nrc",NA
"479","amused","joy","nrc",NA
"480","amused","positive","nrc",NA
"481","amusement","joy","nrc",NA
"482","amusement","positive","nrc",NA
"483","amusing","joy","nrc",NA
"484","amusing","positive","nrc",NA
"485","anaconda","disgust","nrc",NA
"486","anaconda","fear","nrc",NA
"487","anaconda","negative","nrc",NA
"488","anal","negative","nrc",NA
"489","analyst","anticipation","nrc",NA
"490","analyst","positive","nrc",NA
"491","analyst","trust","nrc",NA
"492","anarchism","anger","nrc",NA
"493","anarchism","fear","nrc",NA
"494","anarchism","negative","nrc",NA
"495","anarchist","anger","nrc",NA
"496","anarchist","fear","nrc",NA
"497","anarchist","negative","nrc",NA
"498","anarchy","anger","nrc",NA
"499","anarchy","fear","nrc",NA
"500","anarchy","negative","nrc",NA
"501","anathema","anger","nrc",NA
"502","anathema","disgust","nrc",NA
"503","anathema","fear","nrc",NA
"504","anathema","negative","nrc",NA
"505","anathema","sadness","nrc",NA
"506","ancestral","trust","nrc",NA
"507","anchor","positive","nrc",NA
"508","anchorage","positive","nrc",NA
"509","anchorage","sadness","nrc",NA
"510","ancient","negative","nrc",NA
"511","angel","anticipation","nrc",NA
"512","angel","joy","nrc",NA
"513","angel","positive","nrc",NA
"514","angel","surprise","nrc",NA
"515","angel","trust","nrc",NA
"516","angelic","joy","nrc",NA
"517","angelic","positive","nrc",NA
"518","angelic","trust","nrc",NA
"519","anger","anger","nrc",NA
"520","anger","negative","nrc",NA
"521","angina","fear","nrc",NA
"522","angina","negative","nrc",NA
"523","angling","anticipation","nrc",NA
"524","angling","negative","nrc",NA
"525","angry","anger","nrc",NA
"526","angry","disgust","nrc",NA
"527","angry","negative","nrc",NA
"528","anguish","anger","nrc",NA
"529","anguish","fear","nrc",NA
"530","anguish","negative","nrc",NA
"531","anguish","sadness","nrc",NA
"532","animate","positive","nrc",NA
"533","animated","joy","nrc",NA
"534","animated","positive","nrc",NA
"535","animosity","anger","nrc",NA
"536","animosity","disgust","nrc",NA
"537","animosity","fear","nrc",NA
"538","animosity","negative","nrc",NA
"539","animosity","sadness","nrc",NA
"540","animus","anger","nrc",NA
"541","animus","negative","nrc",NA
"542","annihilate","anger","nrc",NA
"543","annihilate","fear","nrc",NA
"544","annihilate","negative","nrc",NA
"545","annihilated","anger","nrc",NA
"546","annihilated","fear","nrc",NA
"547","annihilated","negative","nrc",NA
"548","annihilated","sadness","nrc",NA
"549","annihilation","anger","nrc",NA
"550","annihilation","fear","nrc",NA
"551","annihilation","negative","nrc",NA
"552","annihilation","sadness","nrc",NA
"553","announcement","anticipation","nrc",NA
"554","annoy","anger","nrc",NA
"555","annoy","disgust","nrc",NA
"556","annoy","negative","nrc",NA
"557","annoyance","anger","nrc",NA
"558","annoyance","disgust","nrc",NA
"559","annoyance","negative","nrc",NA
"560","annoying","anger","nrc",NA
"561","annoying","negative","nrc",NA
"562","annul","negative","nrc",NA
"563","annulment","negative","nrc",NA
"564","annulment","sadness","nrc",NA
"565","anomaly","fear","nrc",NA
"566","anomaly","negative","nrc",NA
"567","anomaly","surprise","nrc",NA
"568","anonymous","negative","nrc",NA
"569","answerable","trust","nrc",NA
"570","antagonism","anger","nrc",NA
"571","antagonism","negative","nrc",NA
"572","antagonist","anger","nrc",NA
"573","antagonist","negative","nrc",NA
"574","antagonistic","anger","nrc",NA
"575","antagonistic","disgust","nrc",NA
"576","antagonistic","negative","nrc",NA
"577","anthrax","disgust","nrc",NA
"578","anthrax","fear","nrc",NA
"579","anthrax","negative","nrc",NA
"580","anthrax","sadness","nrc",NA
"581","antibiotics","positive","nrc",NA
"582","antichrist","anger","nrc",NA
"583","antichrist","disgust","nrc",NA
"584","antichrist","fear","nrc",NA
"585","antichrist","negative","nrc",NA
"586","anticipation","anticipation","nrc",NA
"587","anticipatory","anticipation","nrc",NA
"588","antidote","anticipation","nrc",NA
"589","antidote","positive","nrc",NA
"590","antidote","trust","nrc",NA
"591","antifungal","positive","nrc",NA
"592","antifungal","trust","nrc",NA
"593","antipathy","anger","nrc",NA
"594","antipathy","disgust","nrc",NA
"595","antipathy","negative","nrc",NA
"596","antiquated","negative","nrc",NA
"597","antique","positive","nrc",NA
"598","antiseptic","positive","nrc",NA
"599","antiseptic","trust","nrc",NA
"600","antisocial","anger","nrc",NA
"601","antisocial","disgust","nrc",NA
"602","antisocial","fear","nrc",NA
"603","antisocial","negative","nrc",NA
"604","antisocial","sadness","nrc",NA
"605","antithesis","anger","nrc",NA
"606","antithesis","negative","nrc",NA
"607","anxiety","anger","nrc",NA
"608","anxiety","anticipation","nrc",NA
"609","anxiety","fear","nrc",NA
"610","anxiety","negative","nrc",NA
"611","anxiety","sadness","nrc",NA
"612","anxious","anticipation","nrc",NA
"613","anxious","fear","nrc",NA
"614","anxious","negative","nrc",NA
"615","apache","fear","nrc",NA
"616","apache","negative","nrc",NA
"617","apathetic","negative","nrc",NA
"618","apathetic","sadness","nrc",NA
"619","apathy","negative","nrc",NA
"620","apathy","sadness","nrc",NA
"621","aphid","disgust","nrc",NA
"622","aphid","negative","nrc",NA
"623","aplomb","positive","nrc",NA
"624","apologetic","positive","nrc",NA
"625","apologetic","trust","nrc",NA
"626","apologize","positive","nrc",NA
"627","apologize","sadness","nrc",NA
"628","apologize","trust","nrc",NA
"629","apology","positive","nrc",NA
"630","apostle","positive","nrc",NA
"631","apostle","trust","nrc",NA
"632","apostolic","trust","nrc",NA
"633","appalling","disgust","nrc",NA
"634","appalling","fear","nrc",NA
"635","appalling","negative","nrc",NA
"636","apparition","fear","nrc",NA
"637","apparition","surprise","nrc",NA
"638","appeal","anticipation","nrc",NA
"639","appendicitis","fear","nrc",NA
"640","appendicitis","negative","nrc",NA
"641","appendicitis","sadness","nrc",NA
"642","applause","joy","nrc",NA
"643","applause","positive","nrc",NA
"644","applause","surprise","nrc",NA
"645","applause","trust","nrc",NA
"646","applicant","anticipation","nrc",NA
"647","appreciation","joy","nrc",NA
"648","appreciation","positive","nrc",NA
"649","appreciation","trust","nrc",NA
"650","apprehend","fear","nrc",NA
"651","apprehension","fear","nrc",NA
"652","apprehension","negative","nrc",NA
"653","apprehensive","anticipation","nrc",NA
"654","apprehensive","fear","nrc",NA
"655","apprehensive","negative","nrc",NA
"656","apprentice","trust","nrc",NA
"657","approaching","anticipation","nrc",NA
"658","approbation","positive","nrc",NA
"659","approbation","trust","nrc",NA
"660","appropriation","negative","nrc",NA
"661","approval","positive","nrc",NA
"662","approve","joy","nrc",NA
"663","approve","positive","nrc",NA
"664","approve","trust","nrc",NA
"665","approving","positive","nrc",NA
"666","apt","positive","nrc",NA
"667","aptitude","positive","nrc",NA
"668","arbiter","trust","nrc",NA
"669","arbitration","anticipation","nrc",NA
"670","arbitrator","trust","nrc",NA
"671","archaeology","anticipation","nrc",NA
"672","archaeology","positive","nrc",NA
"673","archaic","negative","nrc",NA
"674","architecture","trust","nrc",NA
"675","ardent","anticipation","nrc",NA
"676","ardent","joy","nrc",NA
"677","ardent","positive","nrc",NA
"678","ardor","positive","nrc",NA
"679","arduous","negative","nrc",NA
"680","argue","anger","nrc",NA
"681","argue","negative","nrc",NA
"682","argument","anger","nrc",NA
"683","argument","negative","nrc",NA
"684","argumentation","anger","nrc",NA
"685","argumentative","negative","nrc",NA
"686","arguments","anger","nrc",NA
"687","arid","negative","nrc",NA
"688","arid","sadness","nrc",NA
"689","aristocracy","positive","nrc",NA
"690","aristocratic","positive","nrc",NA
"691","armament","anger","nrc",NA
"692","armament","fear","nrc",NA
"693","armaments","fear","nrc",NA
"694","armaments","negative","nrc",NA
"695","armed","anger","nrc",NA
"696","armed","fear","nrc",NA
"697","armed","negative","nrc",NA
"698","armed","positive","nrc",NA
"699","armor","fear","nrc",NA
"700","armor","positive","nrc",NA
"701","armor","trust","nrc",NA
"702","armored","fear","nrc",NA
"703","armory","trust","nrc",NA
"704","aroma","positive","nrc",NA
"705","arouse","anticipation","nrc",NA
"706","arouse","positive","nrc",NA
"707","arraignment","anger","nrc",NA
"708","arraignment","fear","nrc",NA
"709","arraignment","negative","nrc",NA
"710","arraignment","sadness","nrc",NA
"711","array","positive","nrc",NA
"712","arrears","negative","nrc",NA
"713","arrest","negative","nrc",NA
"714","arrival","anticipation","nrc",NA
"715","arrive","anticipation","nrc",NA
"716","arrogance","negative","nrc",NA
"717","arrogant","anger","nrc",NA
"718","arrogant","disgust","nrc",NA
"719","arrogant","negative","nrc",NA
"720","arsenic","disgust","nrc",NA
"721","arsenic","fear","nrc",NA
"722","arsenic","negative","nrc",NA
"723","arsenic","sadness","nrc",NA
"724","arson","anger","nrc",NA
"725","arson","fear","nrc",NA
"726","arson","negative","nrc",NA
"727","art","anticipation","nrc",NA
"728","art","joy","nrc",NA
"729","art","positive","nrc",NA
"730","art","sadness","nrc",NA
"731","art","surprise","nrc",NA
"732","articulate","positive","nrc",NA
"733","articulation","positive","nrc",NA
"734","artillery","fear","nrc",NA
"735","artillery","negative","nrc",NA
"736","artisan","positive","nrc",NA
"737","artiste","positive","nrc",NA
"738","artistic","positive","nrc",NA
"739","ascendancy","positive","nrc",NA
"740","ascent","positive","nrc",NA
"741","ash","negative","nrc",NA
"742","ashamed","disgust","nrc",NA
"743","ashamed","negative","nrc",NA
"744","ashamed","sadness","nrc",NA
"745","ashes","negative","nrc",NA
"746","ashes","sadness","nrc",NA
"747","asp","fear","nrc",NA
"748","aspiration","anticipation","nrc",NA
"749","aspiration","joy","nrc",NA
"750","aspiration","positive","nrc",NA
"751","aspiration","surprise","nrc",NA
"752","aspiration","trust","nrc",NA
"753","aspire","anticipation","nrc",NA
"754","aspire","joy","nrc",NA
"755","aspire","positive","nrc",NA
"756","aspiring","anticipation","nrc",NA
"757","aspiring","joy","nrc",NA
"758","aspiring","positive","nrc",NA
"759","aspiring","trust","nrc",NA
"760","ass","negative","nrc",NA
"761","assail","anger","nrc",NA
"762","assail","fear","nrc",NA
"763","assail","negative","nrc",NA
"764","assail","surprise","nrc",NA
"765","assailant","anger","nrc",NA
"766","assailant","fear","nrc",NA
"767","assailant","negative","nrc",NA
"768","assailant","sadness","nrc",NA
"769","assassin","anger","nrc",NA
"770","assassin","fear","nrc",NA
"771","assassin","negative","nrc",NA
"772","assassin","sadness","nrc",NA
"773","assassinate","anger","nrc",NA
"774","assassinate","fear","nrc",NA
"775","assassinate","negative","nrc",NA
"776","assassination","anger","nrc",NA
"777","assassination","fear","nrc",NA
"778","assassination","negative","nrc",NA
"779","assassination","sadness","nrc",NA
"780","assault","anger","nrc",NA
"781","assault","fear","nrc",NA
"782","assault","negative","nrc",NA
"783","assembly","positive","nrc",NA
"784","assembly","trust","nrc",NA
"785","assent","positive","nrc",NA
"786","asserting","positive","nrc",NA
"787","asserting","trust","nrc",NA
"788","assessment","surprise","nrc",NA
"789","assessment","trust","nrc",NA
"790","assessor","trust","nrc",NA
"791","assets","positive","nrc",NA
"792","asshole","anger","nrc",NA
"793","asshole","disgust","nrc",NA
"794","asshole","negative","nrc",NA
"795","assignee","trust","nrc",NA
"796","assist","positive","nrc",NA
"797","assist","trust","nrc",NA
"798","assistance","positive","nrc",NA
"799","associate","positive","nrc",NA
"800","associate","trust","nrc",NA
"801","association","trust","nrc",NA
"802","assuage","positive","nrc",NA
"803","assurance","positive","nrc",NA
