slnum,sent,label
31," ""Altogether, we invested about $75 million in research and development and capital spending for these initiatives in 2016, and we expect somewhat higher levels of investment in them in 2017 and '18.",0
32," ""Always, we're focused and centered on how to use technology and apply new ideas in the most effective and strategic way.""",1
33," ""Among the milestones expected this year are results from the following clinical studies -- a Phase III study of Amigal for Fabry disease, that data expected in the second half of this year; a Phase II study of Amigal co-administered with enzyme replacement therapy for Fabry disease, data also in the second half of this year; a Phase II study of our chaperone in Pompe disease, AT2220, co-administered with an enzyme replacement therapy in Pompe, again data also in the second part of this year; and then finally, we continue to advance our technology with our late-stage preclinical proof of concept studies for a new molecule, AT337, which is our pharmacological chaperone for Parkinson's disease, and we expect by the second half of this year to deliver additional IND-enabling activities and studies to report on as we continue to advance that program.",1
34," ""And a reminder on this project, too, that we're in development and will be in development for quite a while, and our development costs are recovered through demand charges that we have received on firm capacity that we sold across our dock.",0
35," ""And as I've mentioned in prior quarters, the decline in our capitalized software cost was driven by several factors, including the timing of projects, reaching technological feasibility, and the cessation of capitalization in the hospital business, due to the impairment of our tangible assets, we recorded last fiscal year.",1
36," ""And Dunkin' U.S. net development got off to a great start for the year.""",0
37," ""And during this period of significant investment, as we begin to transform our electric generation fleet and the strength of our utilities, combined with our growth for non-utilities, gives me a lot of confidence that we'll continue to develop -- to deliver premium shareholder return.""",0
38," ""And even more importantly, I'm highly confident that the underlying technology themes fueling our long-term growth remain quite positive.",1
39," ""And even though it lost money and we'll lose money this year, we think that with the new-products that we have, the new stents that we're developing and the knowledge that we gained from that will allow us to move into some other stent areas that may be vascular in the future that we think will pay greatly for the company going forward.",1
40," ""And finally, earlier today, we hosted the digital premiere of Animal Vision, an all-new interactive platform, providing 24/7 access into some of SeaWorld's animal habitats.""",1
41," ""And finally, given the increasing importance of our digital transformation to our future growth aspirations, Terry O'Day will transition to full-time leadership of our information technology initiatives.",1
42," ""And Google's Android operating system supporting host card emulation, and we have several clients developing new HCE-based applications in our sandbox as we speak.",1
43," ""And helping the next generation of students involved in science, technology, engineering, and math to stem disciplines at the Naval Academy's cyber camp.",1
44," ""And I can't stress enough how important this is, as we must continually innovate and evolve our product portfolio to serve the changing needs of our customers.",1
45," ""And I think it's going to allow those folks like ourselves who have the combined capability of providing that digital lighting solution to extract more value because there is more value there.",1
46," ""And I think, at a future time, Linda and her team, we're going to blow you away with some of our digital innovation that we're building as we speak today.",1
47," ""And I'm pleased to report that we have secured major new contracts with one of our largest global coatings customers, based on our ability to deliver a broad range of value-added, environmentally friendly technologies.",1
48," ""And I'm proud to say that we have had filings and the filings from all 3 of our development teams bringing us ahead of pace towards our goal of 13 to 17 filings per year.",0
49," ""And in ATD, I can really link our performance to the innovation, our steady R&D investments that we've made over the last couple of years have resulted in Hawkeye and the Raven Rate Control Module.",1
50," ""And in BioPolymer, we're planning to continue capacity expansions to support the very attractive growth Michael shared with you, particularly for microcrystalline cellulose or MCC, serving food ingredients and pharmaceutical markets in rapidly developing economies.",0
51," ""And in December, we announced our partnership with Miral to develop a next-generation marine life-themed park experience in Abu Dhabi and UAE's first Marine Life Research, Rescue, Rehabilitation and Return Center.",0
52," ""And in this area, we've taken what I think is a particularly innovative approach.",1
53," ""And it's better for our employees rather than being pigeonholed in the same platform year after year, they see the entire spectrum of gameplay, technology and business model in their franchise.",1
54," ""And it's innovating.",1
55," ""And it's opening up opportunities for new partnerships and how we develop talent in the organization.",0
56," ""And last but not the least, we've developed a model for an enhanced cadence of accountability for our business development teams regarding their progress against sales goals, including benchmark sales activity with existing referral of licenses and brand new ones we want to establish.",1
57," ""And momentum in investments we're making in technology will continue to drive our technology services revenues growth to the low to mid-teens going forward.",1
58," ""And now for '13, we're focused on the development of the core Holly area in North Louisiana.",0
59," ""And now, we're seeing the same kind of revolutionary technology innovation with adaptive learning.",1
60," ""And of course, we're highly focused on delivering the most innovative, high-quality merchandise and creating the most seamless and best customer experience with our leading digital platform and updated store design.",1
61," ""And our core growth initiatives will be complemented in the long run by these technology initiatives, including the POPS and POS, the ICE that we've discussed.""",1
62," ""And our current strategic partners will extend their reach and capabilities through the new company's ability to innovate and compete at scale.",1
63," ""And plans for pursuing FDA approval of the SOLX solution for 24-hour storage of whole blood have been combined with work to qualify the SOLX solution for use with the filter technology acquired in last year's whole blood acquisition.""",1
64," ""And really importantly, it's where digital and physical come together.",0
65," ""And that performance is a direct reflection of Amphenol's distinct competitive advantages: our leading technology; our increasing position with customers across our diversified markets; a worldwide presence; a lean and flexible cost structure; a highly effective acquisition program; and most importantly, an agile entrepreneurial management team.""",1
66," ""And that's why we're accelerating our innovation agenda.",1
67," ""And the company is also improving its premium position with Camel Dip, which leverages the brand's authentic heritage with packaging and product innovation.""",1
68," ""And then in the Grasberg district, while we have a clear-cut plan of developing and operating through 2041, there's significant resources beyond that and in time, they will come into play.",0
69," ""And then our local news time periods, we're innovating there, too.",1
70," ""And then this margin performance that we've gotten from the operating leverage here in medical really was terrific, and it offset what otherwise would have been a tough first quarter because North American research funding has been quite soft, and the life science area around our photonics camera businesses was weak.",0
71," ""And therefore, we've carefully analyzed all of the data that existed as of our actual acquisition date and that analysis has resulted in a more accurate estimate of the fair value of our acquired loans.""",1
72," ""And these, as we've mentioned, include analytical instrumentation, air traffic management, dewatering, fluid, and most notably, treatment and global solutions, as well as cyber technology.",1
73," ""And this year, we're particularly thrilled to welcome our new-technology partner Deepak Chopra and fitness expert Jillian Michaels as our keynote speakers.""",1
74," ""And this year's record-level pace of 1,750 new units outside the U.S. provides us with the best development-driven tailwind we've ever had.",0
75," ""And three, we're developing new-technologies that will both serve our current customers and current markets more productively, but will also allow us to take those technologies into different vertical markets that are not as closely tied to consumer electronics.",1
76," ""And we continue to enhance our digital capabilities, and I'm proud to say that my Sprint app is now rated 4.5 stars, providing our customers a convenient way to check their account, upgrade their device, pay their bill or perform many other functions instantly and easy.",1
77," ""And we see our success across several important business drivers: one, strong demand for our differentiated security data and analytics platform; two, solid execution of our land-and-expand strategy that's evident with growth from both new and existing customers; and three, continuing returns from the investments that we have been making in our technology platform and in our go-to market initiatives.",1
78," ""And we see these sorts of education programs as something we're going to continue to invest in and drive in the future, both with firms like Year Up and also with the Pega University program, which we've rolled out, which is now training hundreds of students at full universities around the world to create a richer, better stream of Pega-enabled visionaries who can then go in and help digitally-transform companies.",0
79," ""And we'll continue to look for businesses and technology acquisitions to accelerate our growth.""",1
80," ""And we're currently developing and testing additional clustering concepts, and we expect to gain more insights in the coming months.",1
81," ""And we're investing in digital-only content and sales systems to support the products.",1
82," ""And we're making solid progress toward our goal of commercializing our technology in the core markets of food, nutrition and specialty ingredients.",1
83," ""And we're well positioned to execute our development program.",0
84," ""And we've been adding to our Big Data Analytics portfolio through investments in R&D with innovations such as QueryGrid, graph, machine learning, text analytics and more.",1
85," ""And we've only just begun to scratch the surface of what our technical team can do.",0
86," ""And we've seen the developed state decrease slightly at the East Boulder Mine year-on-year, although I will note that the significant jump in production at East Boulder has driven that as opposed to reduction in ounces developed.",0
87," ""And we've shown that we can get a large scale development up and running quickly.",0
88," ""And with this strong foundation in place, I believe there's significant opportunities to further develop the company's international footprint and continue to deliver significant growth, strong performance and shareholder value well into the future.""",0
89," ""Another positive development for our pipeline, as we mentioned on our last call, was an FDA Advisory Committee's unanimous vote in favor of a role for the ongoing development of anti-nerve growth factor, anti-NGF agents for pain, associated with osteoarthritis.",0
90," ""Armed with this understanding of players' preferences, we then acquired a licensed technology and IP to provide the e-commerce capabilities needed, including licensing a selection of table and card games.",1
91," ""As a reminder, much of Precigen's pipeline remains under wraps, but we have said that many of the programs will involve our technologies that allow regulated expression of large genetic payloads.",1
92," ""As a result of adopting our One Layne business development plan last year, we're currently working on over $100 million of projects that involve 2 or more Layne divisions, and we're pursuing over $1.1 billion of potential projects that leverage and combine the new unique skill sets of our various division professionals.",0
93," ""As a result, one of the recent changes we've made in the research department is updating the researchers' titles to better reflect our marketing focus and expertise.",0
94," ""As a result, our technology sales fell short of planned levels causing Patterson Dental's third quarter sales to decline 3% from the year-earlier level, and this in turn was primarily responsible for Patterson's flat consolidated sales and earnings for this period.",1
95," ""As a result, we believe we're in an excellent position to partner with the rest of the industry with the best technology and service platform.",1
96," ""As always with Twilio, let's start with the developers.",0
97," ""As another example, Unisys has just been awarded a task order by the Internal Revenue Service to provide an innovative, private cloud-based solution to manage the IRS' mission-critical information assets.",1
98," ""As Dick described, we are implementing our strategy to return to multi-grade book club offers and to grow revenue per fair in our most profitable segment by using deep analytics to better match revenue opportunities to each school's demographics.",1
99," ""As far as the margin, sort of, profile for all those sort of diversification, innovation, sort of investments; we're investing 2 to 3 points of our margin and we would expect that rate to probably continue, because we're always going to be having something that's going to go ahead and be new.",1
100," ""As for Diablo III, development continues to go well, and we're very excited about the game.""",1
101," ""As I look forward, although we won't firm up our development plans for 2018 until later this year, in these market conditions, I would expect that to continue to take a conservative position on new restaurant openings.",0
102," ""As I said before, our goal is to build Anacor into a commercial pharmaceutical company with innovative, differentiated therapies that have the promise to improve patients' lives while building long-term shareholder value.",1
103," ""As important, we're pursuing key growth markets including digital color and SMB to help boost top line and bottom line performance.",0
104," ""As I've already mentioned, we regularly make portfolio management decisions that gives the flexibility to invest in innovation, pursue M&A deals, divest and withstand the impact of patent erosion.",1
105," ""As many of you have read in our press release we issued this morning, Itron's OpenWay technology has been thoroughly tested at CenterPoint where 10,000 points have been installed since spring.",1
106," ""As mentioned earlier in this call, we believe we're well positioned to take advantage of major opportunities we see in analytics, including mobile and cloud, and capitalize on increasing demand for a solution to the enormous problem of cybersecurity.",1
107," ""As Mike discussed, we've completed the build out of Epsilon end-to-end solution, which includes the five basic areas: creative, data, database, analytics, and information-based e-mail.""",1
108," ""As more companies turn to our AI solutions to power their digital selling strategies, we're driving accelerated growth in our business.",1
109," ""As most of you know, we're developing bardoxolone for the treatment of severe and rare forms of chronic kidney disease, where renal inflammation and fibrosis are key drivers of kidney function loss and kidney failure.",1
110," ""As our second quarter sales reflect, the continued investments we've been making behind innovation and marketing are driving strong volume and sales growth.",1
111," ""As part of our focus on digital, I'm pleased to announce that Paul Gaffney will be joining us later this month as Executive Vice President and Chief Technology Officer.",0
112," ""As part of this plan, we'll make significant progress in moving RSP's assets to a large-scale development because this is the most efficient way to deploy capital, and it creates the greatest value for our shareholders.",0
113," ""As previously announced, we continue to expect to achieve $10 million in annual supply chain savings, which Sue will provide an update on shortly, and we're also developing a more rigorous and required request for proposal process on our contracts and renewals.",1
114," ""As Shelly detailed, we've continued to improve the effectiveness of our data-driven marketing tools and are seeing strong consumer demand for our revolutionary sleep innovations.",1
115," ""As such, we've developed a scaled-down risk application, which will be provided at a lower price point at DNBi to close a critical gap we have in the small business segment.",1
116," ""As the 7-nanometer node, we've had positive feedback with our sub-melt technology at several companies.",1
117," ""As the first new full mu-opioid agonist molecule to be developed in decades, NKTR-181's unique inherent properties as a new pain medicine positioned the drug to not only address the opioid abuse epidemic, but also to reduce diversion of prescription pain medicines for abuse.",1
118," ""As the market leader in process control, KLA-Tencor is addressing our customers' most critical yield challenges and the various technology transitions underway in the market place today, including multi- patterning, new device architectures, such as FinFET and 3D NAND.",1
119," ""As the result of Berbee's focus on advanced technologies, the product categories primarily affected on Netcomm, Servers and Data Storage.",1
120," ""As the world's largest publisher and distributor of children's books, Scholastic has the significant opportunity to expand our reach through e-commerce and e-books, technologies which will continue to reshape our market over the next three to five years.",1
121," ""As we  look towards fiscal year '12, we have good product momentum in the market and are excited by the opportunity to help our customers take advantage of the advancing trends in technology.""",1
122," ""As we celebrate our first decade, I would characterize Arista's journey in 3 phases: Our first phase as we began as Arastra Networks in Paulo Alto in October 2004 with innovative founders and funding.",1
123," ""As we expand our product portfolio with additional sensors, as well as innovating new algorithms and better software, we're viewed as more than a supply partner by these customers, an increasingly strategic technology partner.""",1
124," ""As we further integrate our technology for Decision Street and Elite Meetings acquisition, we'll be able to continue to drive rapid adoption as hotels grapple with managing and prioritizing the 15 million group business RFPs that they see every year.",1
125," ""As we head into fiscal year '15 and beyond, we will continue to lead our industry with innovation.",1
126," ""As we look to fiscal 2018, we're going to build on this success by further focusing on 2 major objectives: First, we will continue to innovate in cloud content management with additional products and platform capabilities that help enterprises move more of their workload to the cloud; and second, we'll continue to invest in and advance our global go-to-market efforts, so we can reach more enterprises all around the world.",1
127," ""As we move into holiday, in North America outlet, we'll accelerate our strategy to drive more innovation and emotion in the channel through limited editions, collaborations and the launch of new silhouettes and platforms.",1
128," ""As we near the end of year 4 of this plan, with year- to-date bookings of 3.1 gigawatts, earnings guidance of over $4 per share and the strongest technology position in our company's history, it warrants recognizing the tremendous progress that has been made towards these objectives since 2012.",0
129," ""As we prioritize our strategic objectives and the IBD landscape continues to evolve, we've decided to discontinue our current development plan for amiselimod.",0
130," ""As well we're developing new formats of our traditional cafes to serve different channels.",0
131," ""As we're getting that learning, we're increasing our spend in terms of digital marketing over time.",0
132," ""As we've discussed previously, General Motors was our launch customer for this brand new-technology.",1
133," ""As we've got to know Sam and his team, we've been very impressed with our concept curation, menu innovation, commitment to hospitality, eye for design and importantly, business discipline.",1
134," ""As we've mentioned in past calls, ICE prides itself on having developed one of the most flexible and modern technology infrastructures.",1
135," ""As we've reported in the past, the current DNA extraction technology that we've developed yields ten times more DNA than the older method.",1
136," ""As we've said before, the solutions, technology, and resources are in place to meet the needs of the general counsel market.""",1
137," ""As we've said before, we believe fundamental elements of our current tax system are outdated and disadvantage U.S. companies against our international competitors, who have reduced tax rates, domestic-only taxation and have incentives for innovation and investments.",1
138," ""As we've seen in other industries, as complexity grows, combining the best equipment with the best technology creates an unmatched competitive advantage.",1
139," ""As we've seen with the increased adoption of technology, vehicles are becoming more and more complex, a trend that will certainly continue.",1
140," ""As with our global strategy, Dana's multi-market approach gives us a unique advantage as we benefit from scale and can leverage our technology and investment across all 3 mobility markets while not being overexposed to changing market conditions in any one business or end market.",1
141," ""As you know, we've been pushing to create windows that advantage our most profitable channels and to increase the appeal for consumers to buy and to rent movies digitally.",0
142," ""As you may recall, in last year's first quarter, all companies were able to record the full year 2012 benefit of federal legislation that reinstated the research and development tax credit, which has substantially lowered the effective tax rate in Q1 of 2013.""",0
143," ""As you saw, the GTF's also been selected to power Embraer's second-generation E-Jet family, the fifth airframe manufacturer to use our technology.",1
144," ""As you've heard in previous calls, developing a large, dynamic accessories offering has been one of our key strategic initiatives.",0
145," ""As you've heard me say lately, we're all still -- we are still, in fact, gathering stage as we work our way to developing a more standard process of drilling and completing horizontal wells in the northern Permian Basin.",1
146," ""At Continuum, we showcased Conduent's distinct value proposition as a technology-led digital interactions company.",1
147," ""At Food Network, we're all about innovation.",1
148," ""At Medco, we're developing and managing a multi-channel platform that lets Medco's 65 million members personalize how they receive information from the company via hard copy statements, secure websites, e-mail/text messages or a combination of all of these channels.",1
149," ""At our agencies, we're continuing to add social, mobile and other digital strategists, account planners, digital developers, account managers, creative staff to develop and deliver digital assignments and to on-board recent new wins.",0
150," ""At the date of the agreement, there were 21 licensees to the patent pool, including those I mentioned previously as well as Illumina's affiliate, Verinata Health, and Sequenom Laboratories.",0
151," ""At the highest levels, it's more and more evident that the world has changed and that cybersecurity is now critical to the fabric of all things related to technology, business and national security.",1
152," ""At the same time, in the next several years, we will evolve our brands to incorporate health and wellness initiatives in the same manner that you've seen us become a major player in the digital space.",1
153," ""At the same time, we've been investing in a major transformation, leveraging our digital marketing cloud platform to become a cloud-based solution provider for omnichannel marketing and also for all of our applications.",1
154," ""At Video Lab West, McClatchy's incubator for emerging forms of nonfiction storytelling, we are recruiting a team of creative technologists and beginning our efforts around augmented and virtual reality.",1
155," ""ATP expects that proved reserves will be assigned by third- party reserves engineers by year-end and we're pursuing an aggressive development plan to bring Clipper to production by the end of 2009.",0
156," ""Back in fiscal '11, our sales into the space market were $136 million and were based on mature products and technologies.",1
157," ""Barry's prior leadership roles include business development and service provider sales leadership at Microsoft as well as a role at Nivio and Level 3 Communications and we're very excited to have him on board to further F5's expansion into multi-cloud opportunities globally.",0
158," ""Based on our analysis of the 2009 results and the PUCO's methodology, as outlined in the 2009 SEET order received this month, neither Ohio company, Ohio Power Company or Columbus Southern had significantly excess earnings in 2010, and we do not believe a refund will be required for that year.""",0
159," ""Based on the totality of data that we've observed throughout the development and testing phases, I'm very excited about the prospect that each of these products will meaningfully improve patient outcomes and expand our market opportunities.",1
160," ""Based on these discussions, we've realized that our industrial platform is well suited for the development and production needs of the pharma industry.",1
161," ""Based on these dynamics, we continue to believe that we are strategically well positioned to be among the beneficiaries of the industry's next investment cycle, particularly so given our strong customer relationships and a portfolio of leading technologies that are tightly aligned with this transition to high- capacity, scalable, next generation networks.",1
162," ""BAX 855 is an extended half-life recombinant factor VIII therapy for hemophilia A, which was designed using the full-length ADVATE molecule and Nektar's proprietary PEGylation technology.",1
163," ""Because of the complexity of those batteries and technology from a process and the capital intensity, we're projecting that revenues are going to increase by roughly 2x out of the SLI volume that they're displacing, and earnings will be roughly 3x out of the SLI equivalent.",1
164," ""Becky was most recently Chief Marketing Officer at Applebee's and previously held the CMO title at Brinker International, as well as a variety of marketing, product and innovation roles with PepsiCo.",1
165," ""Before I close, I want to give a special thanks to Edwin Marcial, who's retiring from ICE after leading our technology team.",1
166," ""Before I do that however, I'd like to take a few minutes to share with you what attracted me to VIVUS, and why I'm proud and excited to be leading the company at this pivotal time in our corporate development.",1
167," ""Before turning it over to Charlie, I'd like to emphasize that SAIC has been and will continue to be a leading technology integrator with a long-term strategy and strong value proposition to shareholders.",1
168," ""Before we get to your questions, I'd like to briefly summarize the 4 pillars of our growth strategy: Number one is to capture the organic growth as our end markets continue to improve; number two, sustain and accelerate our average unit value improvement through our innovation efforts; number three, to continue our penetration in the architectural specialty space; and number four and finally, pursuing inorganic growth opportunities through our enhanced M&A efforts.",1
169," ""Berbee is one of the nation's biggest independent IT service providers and is well known for its best-in-class engineering capabilities and advanced technologies.",1
170," ""Between Cedar Cove's full 12-episode run, pilots for new series in development and a strong slate of original movies, we have brand new original content airing on Hallmark Channel every Saturday through the end of the year and well into 2014.",1
171," ""Beyond our ATTR programs, another exciting milestone in the recent period was presentation of interim Phase I results with patisiran or ALN-AT3, which we're developing for the treatment of hemophilia and rare bleeding disorders.",1
172," ""Beyond that selection, the board's focus will likely shift to working with a local administration to develop the fiscal 2018 Puerto Rico government budget as well as more substantive discussions with bondholders.""",0
173," ""Beyond traditional dealerships, we're developing new retail formats for urban centers and urban tastes.",1
174," ""Block, as it began to expand 50 years ago, really said we're going to control the cities and the suburbs and franchising is the right solution for rural development.",1
175," ""Bond & Specialty's net favorable development increased to $89 million, driven by domestic Management Liability, and PI had $13 million of net favorable reserve development, driven by personal auto.",0
176," ""But frankly, given the unfavorable development we experienced in 2012 in BI, I'm not taking anything for granted.",0
177," ""But HBO's OTT product is only one element of our digital strategy.",0
178," ""But I think the most critical thing to remind everyone is that, at the heart of HMS, we're data analytics and services company.",1
179," ""But in terms of making life easier to mine, I think we'll have to wait and see how that develops.""",0
180," ""But overall, we'll still have the patents stand.",0
181," ""But we're not investing in digital just to grow e-commerce, we're investing in digital to grow everything.",0
182," ""But we're obviously very pleased with this significant development for the company.",0
183," ""But we've dedicated more of them to the international segment and the development of the technology and services that we need to sell to the international customers and potential new customers.""",1
184," ""But we've now implemented virtual roadshows that take advantage of modern technology, while at the same time, providing some of the excitement and immediacy of the prior format.",1
185," ""But what we have recently realized is that we've not done enough to teach our restaurant teams the basic techniques of proper throughput that we taught so well back in 2006 and 2007.",0
186," ""By combining Kinvey with our other core technologies, we believe we're well positioned to enable health care providers to quickly and easily create apps that improve patient experiences and enable better health care outcomes.""",1
187," ""By leveraging the technology platform and lender relationships inherent in our mortgage offering, we believe we can deliver a personal loan shopping experience that's unmatched by the competition.",1
188," ""By partnering with Versity, we're able to offer industry-leading virtualization technologies to manage and optimize customer data across multiple storage tiers, scaling to a virtually unlimited archive size.",1
189," ""Caesars Republic Scottsdale will be located adjacent to the region's premier luxury retail destination, Scottsdale Fashion Square, and will be a 4-star hotel developed by HCW Development and operated by Aimbridge Hospitality.",0
190," ""Camel Dip comes in two styles, Wintergreen Wide Cut and Dark Milled, that feature innovative packaging and the category's first wide cut tobacco.",1
191," ""Camel's premium menthol styles, which offer relevant product differentiation with the innovative capsule technology, continue to support the brand's performance.",1
192," ""CEB Talent Neuron's capabilities will provide the foundation for a new suite of offerings in the planning and analytics category of our talent management business.",1
193," ""CEB's traditional research offerings were generally enterprise agreements, which offered unrestricted access to everyone within the organization.",0
194," ""Certainly one of the key reasons we're experiencing strong growth in digital and in our broadband and voice services, is our focus on triple play bundles.",0
195," ""Cindy, we're now ready for questions from the analysts.""",0
196," ""Client appetite for truly differentiated, independently managed return streams is enduring and having invested in an outstanding group of Affiliate partners over the past 25 years, AMG now has the world's most diverse array of independently managed differentiated strategy, a successful track record of offering this broad product set to clients globally in an efficient way, an ability to add new-capabilities through product-development initiatives both at AMG and at our Affiliates as well as through our new investments strategy.""",1
197," ""Clients increasingly realize that industrial age business models are unable to compete with digital realities of today's always-on customer.""",1
198," ""Clients need a partner who can bring new-capabilities in design, data science and digital technology, in addition to a deep understanding of a client's business, operating model and technology landscape.",1
199," ""Commercial auto's non-cat loss ratio for the quarter and year-to-date is elevated with severity-driven adverse development of prior accident years liability and physical damage losses, again, from 2013 and 2014.",0
200," ""Core-Mark's center of excellence will operate from 4 pillars: the first is providing a food and beverage experience that will allow retailers to benchmark their own offer, develop new menu and product ideas, testing equipment and work to establish a point of differentiation; second is providing cutting-edge product mix optimization and planogram solutions for the center store; third is educating retailers on the total tobacco and nicotine opportunity, including regulation, emerging products and categories and a system and strategy development; and the fourth and final pillar is data.",1
201," ""Customers have validated their desire for Corning's technical glass solutions by awarding us hundreds of millions of dollars in our automotive glass pipeline.",1
202," ""Depreciation for the quarter was $373 million, which was 2.78% of sales and deleveraged 9 basis points compared with last year's first quarter as a result of the timing of information technology assets placed in service.""",1
203," ""Digital innovation also allows us to push the edges on new immersive experiences, whether that's in our own channels or through partnered retail or social media platforms.",1
204," ""Driven mainly the advent and maturation of mobile, social, big data and cloud, many of today's digital products and services that don’t leverage these millennial technologies can lose market share or even become obsolete, creating competitive pressure on some of today's best known brands.",1
205," ""During 2015, we've seen our customers redefine the boundaries of the digital workplace, with a focus on making connections both inside and outside the organization.",0
206," ""During my travels, I've met many customers as well as people who use our products who complement the innovation and technology behind Invacare's medical devices.""",1
207," ""During the course of the past 2 years, our teams have found innovative new ways to remove costs from our operating structure, and I'm confident these efforts will continue to yield results, even in a higher oil price environment.",1
208," ""During the quarter, we experienced robust demand in this area, driven by our continued support of our customer's ramps of 3D NAND and FinFET technologies as well as our leading supply positions in other applications.",1
209," ""During the quarter, we launched Active Insights' PharmaTrack, a new solution that combines leading security, advanced data analytics and compliance technology in a single unified platform to provide life sciences and health care companies enhanced visibility and oversight of the global pharmaceutical supply chain.",1
210," ""During the second quarter, we made investments in Europe and the Asia-Pac region to drive future growth as part of our strategy to export our approach to trading in our hybrid market model to clients outside the U.S. Knight's market insights and innovative trading technologies help clients to navigate opportunities and challenges.",1
211," ""DXP and all our stakeholders are fired up, excited about winning and growing as we continue to be customer-driven, partner with great suppliers and take market share by being fast and convenient with technical people and products to solve our customers' most demanding problems.",1
212," ""Echoing Jeff's comments from the start of the call, Vertex has never been stronger and is well positioned to continue executing on its strategy to drive value and growth through investment in serial innovation.""",1
