	Mahou	Cruzcampo	Heineken	Estrella	San-Miguel	Carlsberg	Coronita	Amstel	Bud	Voll-Damm
A3_P9_37	1	10	1	1	8	1	1	1	1	1
A4_P8_38	10	8	8	8	1	8	9	7	1	10
A3_P2_39	7	5	9	1	1	1	7	1	9	1
A2_P3_40	9	8	9	8	9	8	8	7	8	7
A4_P2_41	10	1	8	1	1	1	1	1	8	1
A1_P5_42	1	1	1	9	1	1	1	1	1	1
A5_P3_43	4	3	3	4	6	4	4	5	5	5
A5_P6_44	6	4	7	6	7	7	7	4	1	1
A3_P7_45	8	1	1	6	7	9	1	1	1	10
A1_P5_46	2	2	8	8	10	3	9	2	7	10
A4_P2_47	6	6	6	1	1	1	6	1	1	1
A3_P4_48	8	6	9	6	7	10	10	7	10	10
A2_P6_49	10	3	5	1	1	1	1	10	1	1
A6_P3_50	8	1	8	1	10	5	7	1	1	4
A2_P2_51	9	1	7	8	1	5	8	10	5	5
A4_P9_52	8	8	1	1	1	1	1	1	1	1
A1_P5_53	6	5	7	10	10	1	10	1	3	6
A4_P4_54	5	5	5	1	1	5	4	4	5	1
A5_P3_55	10	1	2	1	7	1	1	1	1	1
A5_P5_56	8	5	7	8	6	8	10	9	9	10
A5_P8_57	1	1	10	5	1	9	1	1	1	8
A5_P8_58	5	8	9	4	4	8	6	5	3	5
A4_P7_59	9	6	3	3	8	4	3	4	2	5
A2_P6_60	7	7	9	6	8	9	1	6	5	5
A5_P2_61	9	8	6	1	1	1	7	1	1	1
A2_P2_62	8	1	9	1	2	3	9	1	5	2
A1_P5_63	1	1	1	4	2	1	9	1	5	10
A4_P7_64	10	1	1	9	1	5	1	1	4	7
A3_P6_65	8	7	9	6	9	8	6	6	1	6
A5_P1_66	5	5	8	5	5	8	9	7	5	5
A1_P7_67	10	10	1	10	1	1	1	1	1	1
A3_P4_68	6	10	10	6	6	10	10	10	10	10
A6_P9_69	2	8	8	2	8	2	2	2	2	2
A1_P5_70	1	1	10	10	7	1	1	1	1	9
A4_P3_71	10	1	8	1	6	1	1	7	1	1
A3_P9_72	1	10	9	4	6	7	8	5	1	3
A1_P1_73	2	1	10	8	8	9	6	5	1	2
A5_P1_74	1	1	7	1	5	1	8	1	1	1
A5_P3_75	10	1	10	4	7	4	2	6	8	9
A6_P1_76	1	1	10	1	1	1	8	1	6	1
A3_P6_77	10	10	10	1	3	7	2	10	3	4
A4_P3_78	10	1	1	1	10	1	1	1	1	1
A2_P4_79	6	6	8	6	7	6	6	6	8	6
A5_P3_80	1	1	1	1	10	1	1	1	1	1
A4_P7_81	10	8	1	9	9	10	1	10	6	10
A3_P6_82	7	7	1	1	9	1	1	7	1	1
A3_P1_83	1	1	4	1	7	4	5	1	6	1
A3_P2_84	9	1	9	1	9	9	8	1	1	6
A4_P2_85	9	4	9	1	1	6	7	1	1	1
A3_P9_86	6	10	4	1	1	1	1	1	1	1
A3_P4_87	1	9	8	1	1	7	1	1	1	1
A3_P9_88	1	10	10	1	5	1	8	1	1	1
A3_P9_89	1	10	1	1	1	1	1	1	1	1
A1_P3_90	1	1	9	4	10	6	1	1	2	1
A1_P5_91	1	1	1	8	1	1	1	1	1	10
A1_P7_92	10	1	1	10	1	1	1	9	1	1
A6_P3_93	1	1	8	4	9	4	1	6	5	7
A1_P5_94	1	1	1	9	1	1	7	1	1	1
A3_P7_95	9	8	9	8	8	8	1	9	1	9
A3_P4_96	1	1	10	1	1	1	1	1	10	1
A1_P3_97	1	1	5	1	10	1	5	1	1	5
A5_P5_98	7	7	7	7	7	7	7	1	7	7
A1_P5_99	1	1	1	9	9	1	1	1	1	8
A2_P9_100	7	7	8	7	8	4	8	8	8	3
A1_P5_101	6	10	10	10	10	6	9	8	10	10
A4_P2_102	9	1	10	1	1	1	10	8	10	1
A5_P1_103	1	1	1	1	1	1	10	1	10	10
A3_P4_104	1	10	10	1	1	10	1	1	10	1
A2_P9_105	1	5	6	3	7	3	5	5	2	1
A4_P2_106	8	1	1	1	1	1	9	1	1	1
A2_P4_107	1	1	10	1	1	1	1	10	1	1
A4_P7_108	8	1	1	10	10	1	1	7	1	10
A1_P1_109	3	1	10	1	1	5	10	1	5	10
A2_P6_110	6	7	10	6	6	7	6	7	5	5
A1_P4_111	5	10	10	10	1	10	10	1	10	1
A4_P8_112	7	4	7	5	5	5	5	1	1	10
A1_P1_113	7	7	10	6	8	8	9	5	7	8
A3_P9_114	1	10	8	1	1	1	8	1	8	1
A1_P5_115	1	1	8	7	7	1	8	1	1	6
A1_P5_116	1	3	6	8	1	1	7	1	5	1
A1_P6_117	8	8	8	5	10	8	8	5	6	3
A3_P8_118	1	10	9	1	1	9	9	1	1	9
A6_P1_119	5	5	5	5	8	5	10	5	5	5
A3_P4_120	1	10	10	1	1	10	1	1	1	1
A4_P4_121	1	1	10	1	1	10	1	1	10	1
A1_P2_122	5	1	3	1	5	5	5	5	5	3
A4_P6_123	10	10	10	10	8	9	8	5	4	6
A4_P2_124	7	1	9	1	1	5	6	1	1	1
A1_P4_125	8	7	6	6	5	8	7	7	9	6
A1_P5_126	1	1	1	10	9	1	9	1	9	1
A2_P3_127	10	7	10	7	10	7	1	9	8	10
A4_P6_128	7	7	8	1	8	8	1	1	1	1
A3_P7_129	8	10	1	1	8	1	1	1	1	10
A6_P3_130	7	1	5	1	10	1	1	1	1	1
A1_P5_131	1	1	1	10	1	1	1	1	1	10
A5_P7_132	8	6	5	7	9	5	7	4	7	9
A2_P9_133	5	9	5	7	5	5	5	10	6	5
A1_P6_134	1	9	8	9	1	8	1	1	1	1
A4_P3_135	9	1	1	1	6	7	1	1	1	5
A4_P9_136	7	9	1	1	9	1	10	5	1	1
A5_P3_137	1	1	7	1	6	1	1	1	1	1
A1_P5_138	7	6	8	8	8	7	8	6	8	8
A6_P3_139	1	1	9	1	5	1	1	1	1	1
A2_P7_140	9	7	8	8	7	9	5	8	8	9
A4_P3_141	10	4	10	4	6	5	3	8	5	7
A6_P9_142	5	10	5	5	5	5	5	5	5	5
A3_P7_143	9	1	1	1	8	1	1	1	1	8
A4_P2_144	8	10	9	1	1	1	7	1	6	5
A6_P3_145	5	1	4	1	6	6	1	6	5	5
A2_P3_146	5	1	9	1	7	1	1	1	1	1
A4_P9_147	8	7	1	1	7	1	6	7	1	1
A4_P3_148	10	1	10	1	7	8	1	1	1	3
A2_P1_149	1	1	9	1	1	1	10	9	1	1
A6_P2_150	9	7	9	7	9	7	8	6	9	6
A1_P2_151	9	1	1	1	1	1	1	1	9	1
A5_P6_152	9	9	10	1	9	1	8	9	1	1
A2_P7_153	10	10	8	7	1	1	1	10	1	7
A5_P2_154	8	1	7	1	8	7	6	1	1	1
A3_P6_155	5	10	7	7	5	7	5	7	2	2
A6_P3_156	4	1	6	2	5	1	4	1	1	1
A5_P4_157	5	5	6	5	4	8	6	5	9	7
A2_P2_158	10	4	7	3	6	4	5	5	7	3
A1_P1_159	5	5	7	6	7	7	10	5	5	5
A4_P7_160	10	1	1	6	1	1	1	1	1	8
A2_P6_161	8	1	8	8	8	8	8	8	1	1
A2_P7_162	7	2	2	7	7	10	1	7	10	9
A2_P2_163	9	1	7	1	4	1	5	6	1	1
A6_P3_164	8	3	7	3	10	3	6	3	6	3
A6_P4_165	4	4	7	4	2	5	5	4	8	10
A5_P8_166	9	6	8	8	8	9	9	7	6	9
A1_P3_167	10	1	1	1	10	1	1	1	1	1
A1_P5_168	1	1	1	10	7	1	1	1	1	1
A5_P2_169	8	1	10	1	9	9	8	8	8	1
A2_P2_170	8	6	7	1	9	10	9	1	7	1
A6_P1_171	1	1	9	1	9	1	10	1	10	8
A3_P9_172	1	10	7	1	1	1	9	1	1	1
A5_P8_173	6	7	10	5	3	10	10	4	2	6
A2_P9_174	7	8	7	1	6	1	8	8	6	6
A6_P1_175	3	1	10	3	10	1	10	4	6	9
A4_P2_176	10	5	9	7	6	5	9	5	5	6
A6_P6_177	7	7	10	3	6	1	1	1	1	1
A6_P7_178	10	9	1	10	10	9	5	10	5	6
A3_P9_179	10	10	1	1	1	1	10	1	1	1
A4_P6_180	10	7	10	7	7	10	7	10	1	7
A4_P4_181	8	9	9	7	4	7	5	7	7	6
A5_P6_182	7	1	10	1	7	10	1	1	1	1
A5_P2_183	8	1	8	1	6	1	4	1	1	1
A3_P4_184	1	7	8	1	1	7	6	1	8	1
A3_P6_185	10	7	6	1	7	4	2	7	1	1
A5_P2_186	9	1	1	1	1	1	1	1	7	1
A6_P7_187	9	7	2	3	6	1	1	4	1	5
A6_P6_188	7	10	10	6	7	6	5	6	5	6
A2_P4_189	1	1	10	1	1	1	1	1	1	1
A6_P3_190	6	6	8	5	10	7	3	6	10	5
A1_P4_191	1	1	10	1	1	1	1	1	10	10
A5_P6_192	8	5	9	4	10	8	6	4	1	1
A4_P2_193	10	7	9	5	8	7	9	6	6	2
A3_P8_194	8	7	8	5	5	9	8	6	1	6
A5_P6_195	5	5	5	5	5	5	1	5	1	1
A6_P4_196	4	1	9	1	1	1	4	1	10	4
A4_P2_197	5	1	8	1	1	5	7	1	1	1
A1_P5_198	6	6	9	10	8	1	10	6	8	10
A1_P5_199	1	1	5	7	1	6	1	1	5	8
A4_P2_200	10	1	9	1	2	1	8	6	8	1
A4_P9_201	8	10	9	10	10	9	10	10	10	8
A4_P7_202	10	7	5	5	1	5	1	1	1	10
A6_P4_203	1	1	6	1	1	1	1	1	1	1
A6_P2_204	8	6	5	5	7	4	10	4	10	1
A3_P9_205	1	10	1	1	1	1	1	1	1	1
A1_P5_206	1	1	1	9	1	1	1	1	1	10
A2_P6_207	9	10	10	8	9	1	1	9	10	1
A4_P8_208	10	8	7	1	8	7	1	7	1	9
A3_P6_209	7	3	10	7	7	10	1	1	1	1
A3_P8_210	1	10	9	1	8	10	1	8	1	10
A5_P4_211	8	3	9	9	3	9	3	9	8	7
A1_P4_212	1	1	9	1	1	8	1	1	7	1
A1_P5_213	1	1	8	10	5	1	8	1	1	8
A2_P7_214	10	7	8	1	1	1	1	8	1	7
A1_P9_215	6	8	5	8	9	6	8	5	6	5
A1_P5_216	1	1	1	10	3	1	10	1	1	1
A4_P3_217	7	1	1	1	7	1	1	7	1	1
A2_P4_218	5	1	10	1	1	9	10	1	7	7
A1_P6_219	10	9	4	8	7	1	1	1	1	1
A4_P3_220	8	1	10	1	7	1	1	1	1	1
A6_P3_221	8	1	4	1	10	1	1	1	1	1
A5_P7_222	6	9	1	7	1	7	6	6	5	6
A2_P2_223	10	1	7	1	1	2	6	8	1	1
A3_P6_224	7	7	6	1	1	6	1	5	1	1
A3_P9_225	1	10	1	1	1	6	1	1	7	1
A3_P6_226	5	9	7	3	9	6	1	3	6	3
A3_P4_227	4	10	8	6	3	8	8	5	10	8
A1_P7_228	6	4	1	7	9	1	1	1	1	9
A2_P2_229	8	7	8	1	1	7	8	1	4	1
A4_P6_230	10	10	10	6	10	1	6	8	1	1
A5_P2_231	8	1	10	1	1	1	6	1	5	10
A4_P4_232	7	1	9	1	1	6	1	1	7	7
A4_P8_233	10	1	5	1	1	5	1	1	1	10
A5_P1_234	5	6	5	5	6	9	9	5	9	9
A6_P2_235	8	1	5	1	5	5	8	1	9	1
A4_P4_236	9	8	8	1	1	9	1	1	9	10
A1_P5_237	1	1	10	8	1	1	7	1	1	1
A5_P3_238	8	6	8	6	8	6	6	6	6	8
A6_P9_239	8	8	1	1	9	1	1	1	1	1
A4_P7_240	10	5	1	9	5	1	1	1	1	10
A4_P7_241	10	1	1	4	4	1	10	4	1	10
A2_P4_242	9	7	9	7	7	9	8	8	9	8
A6_P2_243	10	1	6	1	1	1	6	1	1	1
A1_P5_244	6	7	1	10	5	1	7	1	7	7
A4_P7_245	10	1	1	7	7	5	1	4	1	7
A5_P5_246	1	1	7	7	7	1	8	7	1	9
A5_P1_247	1	1	10	1	1	1	10	1	1	1
A6_P2_248	10	1	7	1	1	5	9	1	10	1
A4_P7_249	6	5	2	1	5	2	3	1	8	7
A3_P6_250	9	9	10	8	10	10	6	8	8	7
A2_P6_251	8	6	7	7	1	8	1	10	1	1
A4_P7_252	10	4	4	8	1	3	4	7	3	8
A3_P6_253	8	6	8	1	8	8	1	8	1	1
A4_P7_254	10	10	10	10	4	1	1	1	1	10
A1_P1_255	1	1	10	1	1	1	8	7	1	1
A6_P5_256	1	1	5	8	8	7	6	1	6	8
A1_P5_257	8	3	6	7	10	1	9	1	1	7
A4_P7_258	7	5	4	6	7	1	1	6	1	8
A2_P6_259	7	8	8	6	6	1	1	6	1	1
A5_P1_260	1	1	8	8	8	8	10	1	9	1
A3_P5_261	1	1	1	10	1	1	5	1	1	10
A1_P7_262	9	6	2	6	6	1	1	6	4	1
A2_P7_263	7	7	6	7	6	7	6	7	7	7
A5_P7_264	10	1	1	1	6	1	1	1	1	8
A6_P9_265	1	7	8	1	6	1	1	1	5	1
A1_P5_266	4	4	7	10	7	6	7	1	1	9
A5_P2_267	10	1	8	1	7	1	9	1	1	1
A1_P6_268	8	8	9	4	8	5	6	7	1	1
A5_P6_269	10	6	8	9	10	7	7	5	1	1
A3_P7_270	8	9	4	4	4	1	1	1	4	10
A1_P6_271	7	8	6	1	9	1	1	1	1	1
A1_P8_272	1	5	4	1	1	1	7	1	1	10
A6_P1_273	1	1	8	1	1	8	9	1	7	10
A4_P6_274	10	7	8	1	7	8	4	1	5	1
A3_P9_275	6	10	7	6	7	7	8	7	6	7
A1_P3_276	6	6	6	10	10	6	1	4	4	6
A2_P9_277	8	8	6	7	7	5	8	6	7	6
A3_P8_278	5	5	10	5	10	10	1	5	1	10
A6_P1_279	1	1	9	1	1	1	9	1	1	1
A3_P9_280	3	9	9	3	3	4	5	3	2	2
A1_P7_281	6	6	3	6	6	2	5	4	6	7
A2_P2_282	9	9	9	1	1	1	9	9	1	1
A5_P8_283	8	5	5	8	5	8	10	5	1	10
A6_P8_284	5	1	7	1	1	1	1	1	1	10
A3_P7_285	9	6	8	9	8	1	1	6	1	10
A2_P7_286	7	2	2	8	3	3	2	8	3	10
A6_P1_287	3	3	10	3	9	10	6	4	4	5
A3_P9_288	1	10	1	1	1	1	1	1	1	1
A2_P6_289	7	6	9	7	7	5	4	7	4	5
A4_P7_290	8	3	7	9	5	7	2	5	8	10
A4_P2_291	9	1	1	1	1	1	6	1	6	8
A2_P3_292	8	1	7	8	7	2	4	7	2	1
A6_P1_293	1	3	7	1	10	1	10	1	4	4
A2_P6_294	7	5	10	7	7	8	5	7	6	1
A2_P3_295	10	1	9	5	7	4	6	8	2	1
A5_P8_296	9	8	7	1	1	1	1	1	1	10
A3_P2_297	10	6	10	2	6	8	8	3	3	2
A4_P2_298	7	1	10	1	1	1	10	1	1	1
A1_P5_299	5	9	6	10	7	5	8	8	8	7
A5_P1_300	1	1	5	1	1	1	10	1	8	1
A4_P7_301	9	3	2	1	3	1	1	1	1	9
A4_P2_302	10	1	1	1	1	1	1	1	1	1
A2_P9_303	6	6	7	3	8	5	7	4	3	5
A4_P2_304	8	1	10	1	1	10	10	1	1	1
A5_P2_305	8	1	6	1	4	4	5	1	5	4
A2_P6_306	8	9	8	7	10	4	3	10	3	4
A1_P8_307	6	8	4	7	4	9	3	6	1	8
A6_P6_308	10	9	9	1	9	7	6	8	6	1
A2_P4_309	8	8	10	8	8	8	8	8	10	10
A3_P6_310	6	9	1	8	10	1	1	7	1	1
A2_P5_311	7	1	7	10	7	1	5	1	1	1
A2_P6_312	7	6	8	5	7	6	5	6	5	5
A3_P4_313	5	9	9	6	6	8	7	5	9	9
A5_P2_314	7	3	8	3	3	6	9	3	7	1
A4_P2_315	9	1	10	1	1	1	10	1	8	1
A6_P3_316	7	7	7	7	8	1	4	7	7	6
A5_P2_317	8	1	3	1	2	1	6	1	5	9
A6_P2_318	9	5	5	4	8	5	10	5	7	10
A1_P5_319	1	1	1	10	1	1	1	1	1	6
A5_P1_320	1	1	8	1	1	1	8	1	8	9
A3_P4_321	1	8	1	1	1	8	1	8	8	1
A4_P2_322	8	1	8	1	7	6	5	6	6	1
A2_P6_323	10	5	10	4	1	7	1	4	1	1
A1_P4_324	10	6	10	1	1	6	5	6	9	9
A4_P7_325	10	2	8	3	2	5	1	7	1	5
A4_P6_326	8	9	1	1	10	1	1	7	1	1
A6_P1_327	1	1	7	1	3	1	8	1	1	9
A4_P6_328	10	10	10	7	10	10	7	6	7	6
A1_P5_329	1	1	1	7	10	1	7	1	1	7
A1_P5_330	6	1	4	8	1	4	2	1	1	1
A3_P5_331	1	10	9	10	10	8	9	1	1	10
A3_P4_332	3	10	9	1	1	9	9	1	1	1
A2_P7_333	9	9	1	9	9	5	1	9	9	10
A4_P2_334	10	9	10	8	8	9	9	8	8	8
A1_P9_335	5	5	1	4	6	1	1	1	1	1
A2_P6_336	6	6	7	6	6	5	4	6	4	5
A1_P3_337	10	4	10	10	10	10	10	10	10	10
A3_P6_338	8	9	10	5	10	10	10	3	4	3
A1_P5_339	1	7	10	8	1	1	8	1	1	10
A6_P1_340	1	1	10	1	10	1	9	2	5	1
A2_P5_341	1	1	1	10	1	1	5	1	1	1
A2_P3_342	6	5	5	4	9	5	3	5	1	7
A6_P7_343	7	7	4	7	7	4	1	7	7	6
A1_P6_344	8	6	2	6	9	7	1	8	1	1
A1_P7_345	9	9	8	9	5	6	5	4	5	8
A1_P8_346	1	6	7	10	1	8	1	1	1	9
A4_P4_347	9	7	10	7	6	7	8	8	10	7
A2_P9_348	6	9	8	5	4	1	9	5	9	4
A4_P2_349	10	1	7	1	1	6	1	1	6	6
A1_P6_350	9	10	8	9	9	8	7	10	1	7
A4_P2_351	7	4	8	1	7	1	10	1	1	1
A3_P9_352	1	10	1	1	1	1	1	1	1	1
A4_P2_353	10	1	9	1	1	9	9	1	1	1
A3_P6_354	6	10	8	1	6	1	1	1	1	1
A5_P8_355	10	1	9	1	1	1	1	1	1	9
A2_P8_356	5	7	7	6	7	8	6	6	5	8
A1_P9_357	7	9	7	8	9	5	7	7	5	8
A1_P1_358	1	1	8	1	4	5	6	1	4	1
A6_P3_359	1	1	8	1	8	1	1	1	1	1
A1_P7_360	7	7	1	10	7	1	1	7	1	10
A5_P4_361	5	4	7	7	1	3	1	5	7	2
A4_P6_362	10	7	7	1	7	9	1	8	1	1
A4_P2_363	10	1	10	1	1	9	9	1	9	8
A1_P5_364	4	3	9	8	3	1	7	9	8	8
A3_P9_365	5	8	1	5	8	5	10	3	1	8
A2_P3_366	9	1	1	1	10	1	6	7	1	1
A4_P7_367	7	8	1	8	8	8	7	7	1	10
A1_P6_368	5	5	10	2	10	5	8	5	1	1
A3_P6_369	10	9	9	1	8	9	1	9	7	7
A1_P1_370	1	1	10	1	1	1	9	1	1	1
A3_P9_371	1	7	1	1	8	1	1	1	1	1
A3_P8_372	8	8	7	1	1	8	4	7	3	9
A5_P8_373	1	10	10	1	1	1	1	1	1	8
A1_P5_374	1	1	10	10	5	5	10	1	1	5
A6_P8_375	7	8	7	7	8	7	8	8	4	8
A2_P1_376	6	1	10	8	6	1	8	1	7	1
A2_P8_377	5	4	7	1	1	5	2	6	3	9
A3_P7_378	7	6	1	5	1	1	1	6	1	8
A4_P8_379	10	8	7	1	8	7	1	1	1	10
A1_P5_380	8	8	9	10	5	5	9	6	8	7
A2_P7_381	10	4	1	7	1	8	1	10	6	5
A1_P7_382	10	1	1	7	1	1	1	1	1	9
A6_P1_383	1	1	10	1	10	10	10	1	10	10
A6_P9_384	1	8	1	2	3	1	7	4	7	5
A2_P5_385	1	1	1	3	1	1	1	1	1	3
A1_P5_386	1	1	5	7	1	1	1	1	5	10
A1_P6_387	6	7	7	1	7	6	6	7	1	1
A4_P4_388	6	4	10	5	5	6	9	8	9	4
A1_P5_389	1	1	5	10	1	1	5	1	1	10
A5_P3_390	1	1	1	1	7	1	1	1	6	1
A4_P2_391	9	9	8	4	1	6	9	5	8	1
A4_P2_392	6	1	7	1	1	1	9	1	7	1
A6_P8_393	1	5	3	1	6	1	5	1	1	9
A2_P4_394	8	5	10	5	7	8	8	10	7	8
A5_P8_395	4	1	8	5	3	8	1	5	1	8
A2_P1_396	3	3	6	3	3	3	6	3	6	6
A4_P6_397	10	8	6	7	8	1	1	2	1	1
A6_P1_398	1	4	1	1	1	1	10	1	10	8
A1_P5_399	1	1	8	10	1	1	8	1	1	10
A6_P5_400	1	1	4	6	3	4	1	1	1	1
A6_P6_401	6	6	10	6	1	1	1	1	1	1
A3_P4_402	5	9	10	5	5	9	8	5	8	8
A3_P7_403	8	8	8	8	8	8	5	8	6	8
A1_P3_404	1	1	1	1	5	1	1	1	5	1
A3_P8_405	9	10	1	1	1	9	1	1	1	6
A1_P7_406	9	7	7	10	7	7	4	7	8	10
A3_P7_407	6	7	8	9	1	1	1	5	1	10
A1_P2_408	6	6	6	6	1	6	8	5	5	1
A2_P4_409	6	5	9	7	6	8	6	7	6	7
A1_P5_410	1	1	1	10	1	1	9	1	1	8
A2_P1_411	1	5	9	1	7	5	8	1	10	1
A4_P6_412	10	7	8	5	8	6	5	8	5	5
A2_P8_413	1	1	10	1	1	7	1	1	1	9
A4_P8_414	10	1	7	1	1	9	1	1	1	8
A5_P6_415	7	7	8	10	1	4	7	7	1	1
A2_P7_416	8	9	5	9	9	5	1	9	2	8
A3_P9_417	1	9	8	1	8	1	1	1	1	1
A6_P9_418	5	5	5	5	10	5	10	5	1	1
A1_P3_419	1	1	9	8	10	1	1	1	1	1
A5_P2_420	9	5	5	1	1	1	9	1	9	1
A2_P7_421	10	1	1	9	1	1	1	1	8	10
A4_P6_422	9	7	7	1	1	1	1	1	1	1
A1_P5_423	1	1	5	7	1	1	5	1	1	8
A4_P1_424	1	1	10	1	10	1	7	1	1	9
A2_P2_425	10	1	9	1	10	10	6	1	10	1
A3_P8_426	4	7	6	8	9	5	3	4	3	10
A4_P6_427	10	10	6	3	10	8	1	8	3	6
A4_P6_428	6	6	8	9	10	10	6	7	2	2
A5_P9_429	7	8	6	8	1	1	7	1	6	1
A4_P7_430	8	7	1	1	7	1	1	1	9	8
A5_P1_431	6	6	10	6	10	5	10	5	5	4
A6_P4_432	4	4	10	4	3	6	9	4	9	7
A3_P6_433	9	10	1	6	7	1	1	8	1	1
A3_P9_434	7	10	6	1	8	5	6	1	1	1
A5_P6_435	10	10	9	10	10	9	4	10	6	5
A6_P1_436	1	1	6	1	8	7	4	1	9	9
A1_P5_437	6	1	6	9	9	1	9	1	6	1
A1_P5_438	1	1	7	9	6	1	3	1	9	9
A6_P3_439	8	1	9	3	8	7	3	5	5	7
A3_P9_440	8	10	10	5	8	5	9	5	10	5
A3_P6_441	6	6	6	6	6	6	6	1	1	1
A5_P1_442	1	1	1	1	10	1	8	1	1	1
A2_P6_443	6	8	10	5	1	1	1	10	2	2
A4_P6_444	10	1	8	6	8	7	5	8	1	1
A4_P2_445	5	1	1	1	1	1	6	1	1	1
A1_P5_446	3	7	7	8	6	5	8	3	9	10
A4_P6_447	10	8	8	1	1	9	1	1	1	1
A4_P6_448	9	6	6	5	8	7	1	4	6	1
A6_P4_449	6	1	6	1	1	6	7	6	8	8
A4_P6_450	10	6	4	1	8	1	1	10	1	1
A5_P8_451	7	1	1	1	1	9	1	1	1	10
A1_P5_452	8	1	8	10	1	1	3	1	7	9
A2_P7_453	8	8	10	10	9	10	3	9	6	10
A2_P2_454	7	2	7	2	6	8	10	3	6	2
A4_P7_455	10	4	1	1	1	1	1	7	1	1
A4_P2_456	10	9	8	2	2	8	9	2	2	7
A4_P2_457	5	1	9	1	1	4	10	1	3	1
A2_P6_458	10	10	10	10	10	10	5	10	5	5
A4_P6_459	10	6	7	1	6	1	1	3	1	1
A4_P3_460	10	1	8	1	5	1	1	5	1	1
A4_P2_461	9	1	9	1	1	5	6	6	6	1
A3_P4_462	1	9	8	1	1	5	10	3	8	7
A2_P4_463	9	1	9	1	1	9	1	1	4	6
A6_P6_464	7	6	5	9	6	5	1	7	1	1
A4_P2_465	9	1	6	1	9	6	9	1	1	1
A1_P5_466	1	1	1	8	1	1	4	1	1	10
A2_P6_467	7	10	8	1	8	7	1	1	1	1
A4_P9_468	8	8	1	8	9	7	9	8	6	6
A6_P1_469	7	7	9	7	8	8	9	7	7	8
A1_P5_470	4	1	3	10	6	4	3	1	5	5
A4_P3_471	10	1	10	1	10	1	1	10	1	10
A1_P5_472	1	1	4	8	7	3	7	1	2	10
A4_P9_473	10	10	1	1	10	1	1	1	1	1
A3_P6_474	7	10	8	5	10	9	1	5	1	6
A1_P4_475	1	1	5	1	1	10	8	5	1	3
A1_P4_476	5	10	10	9	3	10	10	5	10	1
A2_P3_477	6	1	6	6	7	6	1	7	1	6
A4_P2_478	10	1	6	1	1	1	10	1	1	1
A4_P7_479	3	1	1	9	8	1	1	10	1	5
A5_P2_480	10	4	9	5	2	3	10	10	1	1
A6_P3_481	4	4	10	1	10	1	1	1	7	7
A6_P3_482	10	1	1	1	10	1	1	1	1	1
A2_P6_483	8	4	1	4	8	9	2	7	4	1
A1_P8_484	4	4	1	4	4	6	8	1	1	8
A2_P6_485	6	6	9	5	6	4	4	7	5	5
A1_P7_486	9	3	3	1	1	1	1	3	1	7
A2_P9_487	8	10	10	6	10	8	9	7	7	6
A1_P3_488	5	7	5	5	10	3	1	5	10	5
A2_P6_489	6	9	8	6	5	5	4	7	3	3
A5_P8_490	7	8	7	5	8	7	1	7	1	9
A3_P8_491	1	9	1	1	7	1	1	1	1	10
A1_P5_492	1	1	1	9	1	6	10	1	1	4
A5_P4_493	1	8	8	5	1	7	7	1	6	10
A2_P8_494	1	10	10	1	3	8	6	5	1	10
A3_P8_495	5	8	8	5	7	9	1	5	1	8
